rank,filename,hint,reason
1,43fcc7_stage45_rank01_pos008_0A0F3BBC_0A11FBBC.pss,media_like_512x256,scout-only micro-window
2,43fcc7_stage45_rank02_pos028_37526070_37552070.pss,media_like_512x256,scout-only micro-window
3,43fcc7_stage45_rank03_pos136_3756216A_3758E16A.pss,media_like_512x256,scout-only micro-window
4,43fcc7_stage45_rank04_pos148_0D404123_0D430123.pss,unknown,scout-only micro-window
5,43fcc7_stage45_rank05_pos164_1D9F99DB_1DA259DB.pss,unknown,scout-only micro-window
6,43fcc7_stage45_rank06_pos148_1C3F5203_1C421203.pss,unknown,scout-only micro-window
7,43fcc7_stage45_rank07_pos140_04B0B6A5_04B376A5.pss,unknown,scout-only micro-window
