file,rank,recommended_action,reason
43fc7b_stage30_rank01_pos088_075437E2_078037E2.pss,1,priority_manual_review,mpeg1video 18460.050366s hint->menu_background_family_01
43fc7b_stage30_rank02_pos0a4_0140A06F_016CA06F.pss,2,priority_manual_review,mpeg1video 19.54s hint->challenge_preview_family_misc
43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,3,priority_manual_review,mpeg2video 19.4s hint->challenge_preview_family_misc
43fc7b_stage30_rank04_pos094_24EA9D1E_25169D1E.pss,4,priority_manual_review;check_audio_presence,"mp2,mpeg1video 10.58s hint->track_menu_preview_family_01"
43fc7b_stage30_rank05_pos014_1C4DDAEC_1C79DAEC.pss,5,priority_manual_review;check_audio_presence,"mp2,mpeg1video 11.42s hint->track_menu_preview_family_01"
43fc7b_stage30_rank06_pos088_03A51BF1_03D11BF1.pss,6,priority_manual_review,mpeg2video 10.32s hint->track_menu_preview_family_01
43fc7b_stage30_rank07_pos014_0660D2E2_068CD2E2.pss,7,priority_manual_review,mpeg2video 15.76s hint->track_menu_preview_family_01
