candidate_file,rank,sig8,body_prefix,count
43fc7b_stage30_rank01_pos088_075437E2_078037E2.pss,1,0000010c43fc7b92,c90f,4
43fc7b_stage30_rank02_pos0a4_0140A06F_016CA06F.pss,2,0000010c43fc7b92,c900,6
43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,3,0000010c43fc7b16,643f,3
43fc7b_stage30_rank04_pos094_24EA9D1E_25169D1E.pss,4,0000010c43fc7b92,c90f,4
43fc7b_stage30_rank05_pos014_1C4DDAEC_1C79DAEC.pss,5,0000010c43fc7b92,c900,3
43fc7b_stage30_rank06_pos088_03A51BF1_03D11BF1.pss,6,0000010c43fc7b92,c900,6
43fc7b_stage30_rank07_pos014_0660D2E2_068CD2E2.pss,7,0000010c43fc7bdf,1bb2,3
