rank,candidate_file,candidate_path,sheet_path,field_off,target_hex,pack_start_hex,codec_names,video_streams,audio_streams,duration,width,height,best_ref_media_id,best_ref_family_id,best_ref_content_class,best_ref_distance,family_hint,sha256
1,43fc98_stage17_rank01_pos020_0A0CE66F_0A0AD9DC.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank01_pos020_0A0CE66F_0A0AD9DC.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank01_pos020_0A0CE66F_0A0AD9DC.png,0x014,0x0A0CE66F,0x0A0AD9DC,mp2|mpeg2video,1,1,,512,256,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,111,challenge_preview_like,0885846f6cf87f1f939a6d6b1c36feb12a5c1ff26814eac065b4682b775db05e
2,43fc98_stage17_rank02_pos020_0283F9FB_028228AA.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank02_pos020_0283F9FB_028228AA.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank02_pos020_0283F9FB_028228AA.png,0x014,0x0283F9FB,0x028228AA,|mpeg1video,2,0,,512,256,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,90,unknown,8771affa601b555f5b18ed162cb45b9a0e52795380e0a8c235b9318d45af86c4
3,43fc98_stage17_rank03_pos020_1C327F37_1C3070C0.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank03_pos020_1C327F37_1C3070C0.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank03_pos020_1C327F37_1C3070C0.png,0x014,0x1C327F37,0x1C3070C0,mpeg1video,1,0,12.220000,512,256,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,90,unknown,e7c3ef27de97ace73bcc64e47643251055569839ff7917e5126ef1fe3cbebd83
4,43fc98_stage17_rank04_pos020_05877C68_05854B25.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank04_pos020_05877C68_05854B25.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank04_pos020_05877C68_05854B25.png,0x014,0x05877C68,0x05854B25,mpeg2video,1,0,,512,256,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,111,challenge_preview_like,504ba4d1de5f36e89f95b50cd213d2f54533a4e89509b01fd001f2555c4cefda
5,43fc98_stage17_rank05_pos040_1BBFC9DB_1BBDE87C.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank05_pos040_1BBFC9DB_1BBDE87C.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank05_pos040_1BBFC9DB_1BBDE87C.png,0x028,0x1BBFC9DB,0x1BBDE87C,mp2|mpeg1video,1,1,29630.414889,512,256,challenge_preview_02_BANK_16_34670A3F_34B18A3F,challenge_preview_02_BANK_16_34670A3F_34B18A3F,challenge_preview_fmv,85,challenge_preview_like,2e77670c4cd040099e350420ef0776e242713fc38a44b33983a41795bea22bc3
6,43fc98_stage17_rank06_pos136_1954003F_1951C5A6.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank06_pos136_1954003F_1951C5A6.pss,,0x088,0x1954003F,0x1951C5A6,mpeg2video,1,0,2969.145489,512,256,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,1000000000,unknown,7a2eb7fa648f4e0c3990ee76ae1fdcac0a6290df12d90a5eb25f419ff90407c3
7,43fc98_stage17_rank07_pos148_3080D0DB_307EF1CE.pss,/mnt/data/semantic_pass_cross_domain_stage17/candidate_media/43fc98_stage17_rank07_pos148_3080D0DB_307EF1CE.pss,/mnt/data/semantic_pass_cross_domain_stage17/contact_sheets/43fc98_stage17_rank07_pos148_3080D0DB_307EF1CE.png,0x094,0x3080D0DB,0x307EF1CE,mpeg2video,1,0,,512,256,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,100,unknown,1175b2f8fe35511a105a37491cde5cad3fce50b075708c8a52c1efae8ec11ae5
