rank,candidate_file,best_ref_media_id,best_ref_family_id,best_ref_content_class,best_ref_distance,family_hint
1,43fc98_stage17_rank01_pos020_0A0CE66F_0A0AD9DC.pss,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,111,challenge_preview_like
2,43fc98_stage17_rank02_pos020_0283F9FB_028228AA.pss,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,90,unknown
3,43fc98_stage17_rank03_pos020_1C327F37_1C3070C0.pss,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,90,unknown
4,43fc98_stage17_rank04_pos020_05877C68_05854B25.pss,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,111,challenge_preview_like
5,43fc98_stage17_rank05_pos040_1BBFC9DB_1BBDE87C.pss,challenge_preview_02_BANK_16_34670A3F_34B18A3F,challenge_preview_02_BANK_16_34670A3F_34B18A3F,challenge_preview_fmv,85,challenge_preview_like
6,43fc98_stage17_rank06_pos136_1954003F_1951C5A6.pss,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_01_BANK_14_328C4A2B_32E14A2B,challenge_preview_fmv,1000000000,unknown
7,43fc98_stage17_rank07_pos148_3080D0DB_307EF1CE.pss,43fc67_menu_background_segment_01_39A35E38_39E35E38,43fc67_menu_background_segment_01_39A35E38_39E35E38,menu_background_fmv,100,unknown
