file,rank,recommended_action,reason
43fc9a_stage24_rank01_pos0a4_051BBEB5_0547BEB5.pss,1,manual_review,mpeg_signal|audio_present|sane_duration|track_menu_like_hint
43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,2,manual_review,mpeg_signal|audio_present|sane_duration|track_menu_like_hint
43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,3,manual_review,mpeg_signal|sane_duration|challenge_like_hint
43fc9a_stage24_rank04_pos094_004212F6_006E12F6.pss,4,manual_review,mpeg_signal|sane_duration|track_menu_like_hint
43fc9a_stage24_rank05_pos094_06DE03E0_070A03E0.pss,5,manual_review,mpeg_signal|sane_duration|track_menu_like_hint
43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,6,manual_review,mpeg_signal|sane_duration|track_menu_like_hint
43fc9a_stage24_rank07_pos094_01F600F8_022200F8.pss,7,manual_review,mpeg_signal|sane_duration|track_menu_like_hint
