file,contact_sheet,status,semantic_label,family_id,matched_field,value_u32
43fc9a_pos024_343FD2F9_343DD2F9_3469D2F9_c4.pss,43fc9a_pos024_343FD2F9_343DD2F9_3469D2F9_c4.png,soft_clean,Elf multi-vehicle challenge preview,challenge_preview_family_misc,pos024,876598009
43fc9a_pos024_37F8A59E_37F6A59E_3822A59E_c3.pss,43fc9a_pos024_37F8A59E_37F6A59E_3822A59E_c3.png,soft_clean,GO-overlay track flythrough preview,track_flythrough_family_01,pos024,939042206
