file,field_pos,value_u32,support,start_offset,end_offset,codec,duration,resolution,streams,video_like,audio_like,dur_score,weird_penalty,score,rank,top_branches
43fc9a_stage24_rank01_pos0a4_051BBEB5_0547BEB5.pss,164,85835445,6,85704373,88587957,"mp2,mpeg2video",12.64,512x256,2,True,True,12.64,0,132.64,1,0000010c43fc9ae9|7321:6
43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,32,162754444,5,162623372,165506956,"mp2,mpeg1video",14.38,512x256,2,True,True,14.38,0,132.38,2,0000010c43fc9ae9|71d0:5
43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,36,925218112,6,925087040,927970624,mpeg2video,16.8,512x256,1,True,False,16.8,0,128.8,3,0000010c43fc9ae9|7321:6
43fc9a_stage24_rank04_pos094_004212F6_006E12F6.pss,148,4461302,6,4330230,7213814,mpeg2video,15.4,512x256,1,True,False,15.4,0,127.4,4,0000010c43fc9ae9|7321:6
43fc9a_stage24_rank05_pos094_06DE03E0_070A03E0.pss,148,115344352,6,115213280,118096864,mpeg2video,15.12,512x256,1,True,False,15.12,0,127.12,5,0000010c43fc9ae9|7321:6
43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,36,886042620,6,885911548,888795132,mpeg2video,12.6,512x256,1,True,False,12.6,0,124.6,6,0000010c43fc9ae9|7321:6
43fc9a_stage24_rank07_pos094_01F600F8_022200F8.pss,148,33030392,6,32899320,35782904,mpeg2video,12.24,512x256,1,True,False,12.24,0,124.24,7,0000010c43fc9ae9|7321:6
