field_pos,value_u32,support,plausible_offset
8,1390485875,99,False
20,4152676281,11,False
20,2126702556,9,False
28,3995009238,9,False
32,4003739520,9,False
36,4031458576,9,False
40,2371126693,9,False
20,2534285646,6,False
20,1541044794,6,False
20,1777043923,6,False
20,4178141043,6,False
20,4241683877,6,False
28,866415608,6,True
28,4210943994,6,False
28,3128885337,6,False
28,2446254527,6,False
28,3792633733,6,False
28,421932026,6,True
32,1325327616,6,False
32,3460947712,6,False
32,1551721276,6,False
32,3302307782,6,False
32,4119720260,6,False
32,1055726563,6,True
36,1314881215,6,False
36,2052280911,6,False
36,801058721,6,True
36,3922456395,6,False
36,925218112,6,True
36,886042620,6,True
40,3717477387,6,False
40,3695727960,6,False
40,2926463594,6,False
40,2836024175,6,False
40,698942887,6,True
40,1397892032,6,False
40,635245024,6,True
136,3360606025,6,False
136,4111308472,6,False
136,3577694956,6,False
136,1178781774,6,True
136,2200303214,6,False
136,4088380457,6,False
148,1686212354,6,False
148,33030392,6,True
148,115344352,6,True
148,4461302,6,True
148,2383936821,6,False
164,3797674969,6,False
164,3083836855,6,False
164,85835445,6,True
164,3983796141,6,False
164,731576268,6,True
8,2851131505,5,False
20,4031490992,5,False
28,1738069247,5,False
32,162754444,5,True
36,2629762174,5,False
40,2610079361,5,False
136,298411683,5,True
148,4114551532,5,False
164,4132845059,5,False
20,4171580296,4,False
20,762133789,4,True
20,4094486127,4,False
20,1608153826,4,False
20,3035985068,4,False
28,84395795,4,True
28,3250712853,4,False
28,147321183,4,True
28,3737246991,4,False
28,2981583456,4,False
28,1962926074,4,False
32,632995377,4,True
32,3184998262,4,False
32,2633812737,4,False
32,3032363422,4,False
32,1507768417,4,False
36,3774146039,4,False
36,3863452199,4,False
36,2045099733,4,False
36,876598009,4,True
40,3561834931,4,False
40,1228079772,4,False
40,1457482660,4,False
40,1418044727,4,False
40,1251611104,4,False
40,1232585065,4,False
164,3698977602,4,False
20,4152684473,3,False
20,1465637498,3,False
20,3993624435,3,False
20,2126698460,3,False
20,4152668089,3,False
20,1835658121,3,False
20,1267142695,3,False
20,1032059387,3,True
28,407872627,3,True
28,4244879610,3,False
28,2130688446,3,False
28,4211577077,3,False
28,1016188641,3,True
28,3995058389,3,False
28,3970766360,3,False
28,1904738114,3,False
32,2943306712,3,False
32,2474588544,3,False
32,2633239968,3,False
32,4245837791,3,False
32,1312425936,3,False
32,4207310882,3,False
32,2010265984,3,False
32,1264352611,3,False
32,1558100056,3,False
36,3218342625,3,False
36,70811129,3,True
36,4171568648,3,False
36,2124739579,3,False
36,3734295699,3,False
36,4233235428,3,False
36,2548013008,3,False
36,939042206,3,True
36,3253324783,3,False
36,2950477610,3,False
40,2864894491,3,False
40,2863723526,3,False
40,1377127023,3,False
40,928126358,3,True
40,4122840372,3,False
40,2496955091,3,False
136,3967065300,3,False
136,402739325,3,True
136,323122746,3,True
136,273411293,3,True
136,2105746934,3,False
136,2977395544,3,False
136,731006092,3,True
136,4134407851,3,False
136,3750006941,3,False
136,1273814300,3,False
136,3239213879,3,False
136,306345530,3,True
136,2708671133,3,False
136,436233383,3,True
136,70947941,3,True
136,2571118124,3,False
148,63968575,3,True
148,1636762304,3,False
148,1178634523,3,True
148,571046676,3,True
148,4472320,3,True
148,2231164,3,True
148,260050752,3,True
148,520101760,3,True
148,226511042,3,True
148,9536529,3,True
148,12247559,3,True
148,3160916736,3,False
148,1041958480,3,True
148,546484295,3,True
148,2441362698,3,False
164,773127104,3,True
164,2288979214,3,False
164,1156816569,3,True
164,2914117259,3,False
164,361560150,3,True
164,2011085392,3,False
164,2767771142,3,False
164,2230900448,3,False
164,4057422073,3,False
164,4139546017,3,False
164,1462813879,3,False
164,2289020263,3,False
136,2097202231,2,False
148,1148977338,2,True
148,17470,2,True
148,3562782265,2,False
148,574897664,2,True
164,10376199,2,True
164,997154088,2,True
164,2962213895,2,False
164,2626202072,2,False
164,2970577998,2,False
164,1636762304,2,False
