scene,member_label,member_class,file,strings_file,length_bytes,confidence
RaceResults_01,AI0_UiSelect2_browser,ui_ai_member,RaceResults_01_AI0_UiSelect2_browser.bin,RaceResults_01_AI0_UiSelect2_browser_strings.txt,258,medium
RaceResults_01,List_star,typed_value_member,RaceResults_01_List_star.bin,RaceResults_01_List_star_strings.txt,206,high
RaceResults_01,UiSelect,typed_value_member,RaceResults_01_UiSelect.bin,RaceResults_01_UiSelect_strings.txt,254,high
RaceResults_01,en3d_Matrix_embedded,embedded_value_member,RaceResults_01_en3d_Matrix_embedded.bin,RaceResults_01_en3d_Matrix_embedded_strings.txt,356,medium
RaceResults_01,AI_member,ai_member,RaceResults_01_AI_member.bin,RaceResults_01_AI_member_strings.txt,384,medium
