xml_key,term,offset_hex,cluster_id,excerpt
PROGRESS,Progress,0x17cd76b2,2,"`$N/ | T8 8 | `""-d | (1>h | iI<  | =""ProgressBar(D2)x03|Hd |  rx00 | #t :}06+"
PROGRESS,Progress,0x17cd7f1b,2,"AI_List) |   <AI No=""0""+Z |   +D | String' | gaHudAiRaceProgress+ | m\<1 | Car+L"
OPTIONS,Options,0x25a737e0,3,"=""ICont/InFr\ | MinDist"" Type=""FloaP | =""50.0` | "" SaveOptionsH | Xalse | PlayerStatp | 10 . | Behind/;"
PROGRESS,Progress,0x25a74522,3,"2P  p | SpeedUnit 6 | C""P$ | Gearbox1 E | Progress/Win"" | us/Won_T1_BagooC 7 | Elf R | BFGoodrich R"
OPTIONS,Options,0x25a75486,3,"</gaIContDriverParams | XmlData't | "" SaveOptions=""False | PlayerStatt, |   <1$ | Velocity : Min (mps) | 8.4t78 | ax:+"
OPTIONS,Options,0x25a776b8,3,"eDescriptorXml | s2/Forklift | XmlData'@ | "" SaveOptions=""False | PlayerStatl |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x25a7cd3a,3,"DescriptorXml | s2/SeatBuggy | XmlData'P | "" SaveOptions=""False | PlayerStat| |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0x25a80ec7,3,"torXml |  NamD | s2/Chevyblazer | XmlData' | "" SaveOptions=""False | PlayerStatD |   <40 |   <*"
OPTIONS,Options,0x25a824b3,3,"leDescriptorXml% | ""</#$# | s2/Kamaz | Data' | "" SaveOptions=""False | PlayerStat""4% |   <40 |   +p%"
OPTIONS,Options,0x25a86922,3,"s2/+ | /Terrano/Player2 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 | Chevyblazer | Pajerostripe"
OPTIONS,Options,0x25a878b3,3,"""KT< | ]8/"" | YD`u_ | ?"" SaveOptions=""False | PlayerStat| |     < |  NamH | Vehicles/Tyres/gravel8/Inflat"
QUICKRACE,QuickRace,0x25a87edf,3,"True""3 | SkipTitle'$#  | ReturnScreen | I""P)&X3 !$ | QuickRace/Mode2 | Car02 | Track | Ghos'"
CUPSELECT,CupSelect,0x2ff90e74,4,String'$ | gaFrontend | AI0T |  Status*5 | /CupSelectd | + ID2 | Group Visibility6 | Null/.
OPTIONS,Options,0x2ff9263a,4,extB | ]T[CdAI+ | yi<9 | Font ID# | /GameOptions/Gearx[` | d 1g | Null  | OffsetX
QUICKRACE,QuickRace,0x2ff936a6,4,"  ""8Q | List( |   <t | ""'Ie="""" | Select"" | QuickRace(t | "" %""8E | ""/'`"
PROGRESS,Progress,0x2ff93a9c,4,"Enabl  | Unlocker< |  16` | Progress/OpU | d""\x | s/T1 |  t&- | 1 OR 23"
GAMESELECT2,GameSelect,0x2ff93f7c,4,Enabl  | Unlocker< |  16` | /GameSelect/' | Availh*> | 1 OR 23 | %|.- | Control AI5
QUICKRACE,QuickRace,0x2ff946bd,4,"  <P | List( |   <t | +(<! | QuickRace(t | ""/'` | Egg $ | =""0"""
PROGRESS,Progress,0x2ff94a96,4,"Progress/Opened"" | s/T1 |  t&- | Cheats/ | 1?2m"
LANGUAGE,Language,0x2ff9515b,4,"8>6</' | 6<,I | ""\""  | Language"" | English(l( | \flagsheet: | I33% | @*]4"
PROGRESS,Progress,0x2ff9777d,4,"Enabl  | Progress*< | Use ""H&3< | h+ (? | .#4.p | .18h | +X/a | >K/3d "
TRAINING,Training,0x2ff97a62,4,"#R(="" | ,D+l | )?""x&*;<"" | Training | a73+4 | ""4=\s | c7293  | ~`7:4."
QUICKRACE,QuickRace,0x2ff9a2b1,4,"!=""/ | 9</'t9#d9< | QuickRace"" | $>&(h( | =""True""/'T | ""#$+ | 1.0> | +{"" "
PROGRESS,Progress,0x2ff9b555,4,"Lefth | Unlocker< |  16L | Progress/Opened""T1 | s/T1Master$(8-H | 1 OR 2 | +l / | Cheats/"
PROGRESS,Progress,0x2ff9c89a,4,"sheet: |  On.46 /l., | 56`.* |  #x!# | Progress/Win | /Won_Bagoo"" | Individual$ | 8s&d%=d31+"
PROGRESS,Progress,0x2ff9d792,4,String' | enUIMulti | :AI+ | q@<. | Progress/WinStatus/Won_Master_Stage9/ | ndividual  |  Per | H Justification2
PROGRESS,Progress,0x2ff9eedd,4,"(&,. | 646#H. *e.1=x | d.* N+ |  ""X.* | C6h- | Progress/Win | /Won_ | Individual$"
VEHICLESELECT,VehicleSelect,0x2ff9fe5e,4,"  "",: | List( | ControlW> Op"" i | VehicleSelect | ""X5#q7 | 9\PH[%pD | Tru9 | 4tr$"
OPTIONS,Options,0x2ffa1b4c,4,"Font ID# | /ControllerOptions/'` | ,D ` | SRdex3| | OffsetX | HJustifica|/2 | Width2 | Height2"
QUICKRACE,QuickRace,0x2ffa2fdd,4,"]T_CdAI+$ | =""Font ID# | /QuickRace/CurrentVehicle | CSdex3 | (=""/ | OffsetX | HJustification2 | Width2"
QUICKRACE,QuickRace,0x2ffa5ed3,4,FontXF | /QuickRace/CurrentVehicle2 |  IDGSdex3 | OffsetX | (q-  | HJustificationp | Width2 | Height3
QUICKRACE,QuickRace,0x2ffa8cd5,4,Font ID# | /QuickRace/(T | SRdex3| | Car2x | CurrentVehicle2% | CarIcon &
QUICKRACE,QuickRace,0x2ffaa61d,4,"Enabled | <Egg | QuickRaceScreen*X | Use ""\ 3 | 18 *P | Freezh,3 | Hit  | Draw Priority"
RACEDETAILS2,RaceDetails,0x2ffaba52,4,"TextB | ]T_CdAI+ | uy<9 | Font ID# | /RaceDetails | [Qdex3d | fr="" | Null "
OPTIONS,Options,0x2ffad409,4,"""False""/> | <Value Name=""UiSelect"" Type=""Int""  | H"" SaveOptions | Pla  | Uns E | Index* | String'P | Null +\"
RACERESULTS,RaceResults,0x2ffad451,4,Pla  | Uns E | Index* | String'P | Null +\ | List6 | Frontend/RaceResults/ | HeightSpac
REPLAYTHEATRE,ReplayTheatre,0x2ffafb4c,4,">x0 [ | ReplayTheatre/ | ""k7@ | '$9) | VV53' | '=LT | : QL <4 | VV25+"
VEHICLESELECT,VehicleSelect,0x2ffb2361,4,Jtus6 | /VehicleSelect/+ | ** )p | #e'  | ility6 | </<D | 1$*f | CarRigh 
VEHICLESELECT,VehicleSelect,0x2ffb30a3,4,"gaFrontendCarMoverAI+ | /VehicleSelect/ | Rotat'L | ion Spe( | Floa( | 0.0200,@ | Clockwis44 | Refs"
PROGRESS,Progress,0x2ffc2717,4," Hotke' | o+l&h | /</)50<l | ProgressBar( |  rx00 | #t :}06+ | ?|09 | |*7}01,"
PROGRESS,Progress,0x2ffc5625,4,g{(@ | &</)i | ProgressBar(x | en2d  | Hit7 | Draw Priorit'
PROGRESS,Progress,0x2ffc7d47,4,"01>L | Demo),(* | Bxf& | ProgressBar( | +0(? | ,HS+ | ; &x-"":+ | DR532s"
PROGRESS,Progress,0x2ffc82e3,4,"AI_List) |   <AI No=""0""+Z | am'd | gaHudAiRaceProgress+ | Hud No | Use Sol Ti( | CarI  | Finish Lin'"
PROGRESS,Progress,0x2ffcc1a5,4,"`$N/ | T8 8 | `""-d | (1>h | iI<  | =""ProgressBar(D2)x03|Hd |  rx00 | #t :}06+"
