cluster_id,start_hex,end_hex,span_bytes,hit_count,unique_keys,unique_key_count
1,0xd77eced,0xd7933ec,83711,10,OPTIONS;PROGRESS;QUICKRACE,3
2,0x17c9c381,0x17cd7f1b,244634,33,CUPSELECT;GAMESELECT2;LANGUAGE;OPTIONS;PROGRESS;QUICKRACE;RACEDETAILS2;RACERESULTS;REPLAYTHEATRE;TRAINING;VEHICLESELECT,11
3,0x25a737e0,0x25a87edf,83711,10,OPTIONS;PROGRESS;QUICKRACE,3
4,0x2ff90e74,0x2ffcca0e,244634,33,CUPSELECT;GAMESELECT2;LANGUAGE;OPTIONS;PROGRESS;QUICKRACE;RACEDETAILS2;RACERESULTS;REPLAYTHEATRE;TRAINING;VEHICLESELECT,11
5,0x3dc0fead,0x3dc2cc76,118217,47,OPTIONS;PROGRESS;QUICKRACE,3
6,0x48a62a9e,0x48aba45b,358845,143,CUPSELECT;GAMESELECT2;LANGUAGE;MRALLYESTART;OPTIONS;PROGRESS;QUICKRACE;RACEDETAILS2;RACERESULTS;REPLAYTHEATRE;TRAINING;VEHICLESELECT,12
