xml_key,pak_offset,pak_path,path_quality
RACEDETAILS2,13829,SCREENS\PS2\RACEDETAILS2.XML,high (left-truncated S\PS2\...)
OPTIONS,33104,SCREENS\PS2\OPTIONS.XML,high (left-truncated S\PS2\...)
LANGUAGE,43076,LANGUAGE.XML,high
RACERESULTS,49155,SCREENS\PS2\RACERESULTS.XML,high
QUICKRACE,55756,SCREENS\PS2\QUICKRACE.XML,medium (reconstructed from ICKRACE.XML fragment)
PROGRESS,58120,SCREENS\PS2\PROGRESS.XML,high (left-truncated S\PS2\...)
CUPSELECT,102813,SCREENS\PS2\CUPSELECT.XML,high (left-truncated DSCREENS...)
TRAINING,116298,SCREENS\PS2\TRAINING.XML,high (left-truncated NDSCREENS...)
GAMESELECT2,119864,SCREENS\PS2\GAMESELECT2.XML,high
