rank,field_pos,start_offset,top_sig8,top_body_prefix,top_count,matching_records
1,0x028,0x35D29FB0,0000010c43fc8192,c900,4,12
2,0x024,0x379EAD0D,0000010c43fc8192,c900,12,12
3,0x088,0x01EDCDE2,0000010c43fc8192,c90f,6,6
4,0x014,0x1BB7B6F3,0000010c43fc8192,c909,6,6
5,0x088,0x1B96EBE7,0000010c43fc8192,c90f,4,4
6,0x014,0x31BB7B6F,0000010c43fc8192,c900,6,6
7,0x028,0x1B2BC413,0000010c43fc8192,c909,3,3
