rank,file,sig8,body_prefix,field_pos,support,family_hint,family_hint_confidence
1,43fc81_stage32_rank01_pos028_35D29FB0_35FE9FB0.pss,0000010c43fc8192,c900,0x028,12,track_menu_preview_family_01,low
2,43fc81_stage32_rank02_pos024_379EAD0D_37CAAD0D.pss,0000010c43fc8192,c900,0x024,12,track_menu_preview_family_01,low
3,43fc81_stage32_rank03_pos088_01EDCDE2_0219CDE2.pss,0000010c43fc8192,c90f,0x088,6,challenge_preview_like,low
4,43fc81_stage32_rank04_pos014_1BB7B6F3_1BE3B6F3.pss,0000010c43fc8192,c909,0x014,6,composite_or_hybrid_preview_like,low
5,43fc81_stage32_rank05_pos088_1B96EBE7_1BC2EBE7.pss,0000010c43fc8192,c90f,0x088,4,challenge_preview_like,low
6,43fc81_stage32_rank06_pos014_31BB7B6F_31E77B6F.pss,0000010c43fc8192,c900,0x014,6,track_menu_preview_family_01,low
7,43fc81_stage32_rank07_pos028_1B2BC413_1B57C413.pss,0000010c43fc8192,c909,0x028,3,composite_or_hybrid_preview_like,low
