file,a4_offset_hex,zone_class,prev_anchor,prev_anchor_off,next_anchor,next_anchor_off,delta_from_prev,delta_to_next,window_hex
AI_0_1.bin,0x123,nav_slot_tail,Up Path,0x118,Right,0x126,11,3,a70a20494432a907333eb809045570205061746832ec003fa40902526967687437f80030a4072dc41001446f776e37f500343ee3024c6566201aec0104456e61
AI_0_1.bin,0x12f,nav_slot_tail,Right,0x126,Down,0x135,9,6,045570205061746832ec003fa40902526967687437f80030a4072dc41001446f776e37f500343ee3024c6566201aec0104456e61626c6564f81e2b0717547275
AI_0_1.bin,0x2ff,render_or_value_subblock,Image Bank,0x2c6,Vector3,0x36b,57,108,3264202020980920677c330167614645becb4d652acc192fa43378d727ac1a74f520238c2822542a06466f726d61747465642274332fda0120202380352d9000
AI_0_1.bin,0x44d,render_or_value_subblock,Colour,0x3be,True,0x4f6,143,169,465c62234c550d735c6375727665645f736d616c6c65722ba4132b940e22913b2026342db4dbf40120360935328b4231383927583674b23d84023a782d2c5850
AI_0_1.bin,0x642,render_or_value_subblock,Image Bank Index,0x623,2dGlobal,0x655,31,19,616e6b20496e6465273c0b200b0c013aa8093e940868103ea4093fb80a4c203aa8092003fc002020ac09053264476c6f62616cf0303ec00d0441495f4c697374
AI_0_2.bin,0x318,render_or_value_subblock,gaFrontendStandardButtonAI,0x2e1,Up Path,0x337,55,31,202901003c38ac002da70020203c980b04204e616d653d22a40a0d2049442220547970653d22496e74222087043d22352f9c012df400045570205061746832ed
AI_3_3.bin,0x305,variant_render_value_subblock,GetSaveSize,0x2df,en3d ZBuffered,0x39c,38,151,2b1014200000000001be3334372000000046bc333fe42723a432268433200000a9bc333fd83039bc333fc40c203bbc333f4c3e20004bbe333c2f29ed673c6c01
AI_0_4.bin,0x226,variant_trailer_subblock,Colour,0x206,,,32,,a92c3427880575a8202c10002f9e053c2f3e600c22ac272ba40c200034ca2c3c2f27043423242d74010005735f56657273696f6e343e
