scene_file,scene_name,scene_size,member_count_total,value_count,ai_count,ai_list_count
Language_01.bin,Language,4342,5,3,2,0
RaceResults_01.bin,RaceResults,6346,4,3,1,0
QuickRace_01.bin,QuickRace,5513,6,1,4,1
