cluster_start_hex,cluster_end_hex,cluster_span_bytes,hit_count,best_member_offset_hex,best_value_hex,best_norm_hex,best_normalized_hex,best_anchor_diff,section
0x1dc,0x1f4,28,4,0x1e8,0xe8005f51,0xb0000000,0x38005f51,85768,prelude_control
0x540,0x558,28,4,0x540,0x943dad9d,0x60000000,0x343dad9d,9564,prelude_control
0x9740,0x9758,28,4,0x9744,0xa8005cd7,0x70000000,0x38005cd7,85134,main_entry_region
0xd0b0,0xd0c8,28,4,0xd0c0,0x42c004,0x0,0x42c004,44302,main_entry_region
0xa18,0xa2c,24,4,0xa28,0x78006058,0x40000000,0x38006058,86031,prelude_control
0xab8,0xacc,24,4,0xab8,0x38005e98,0x0,0x38005e98,85583,prelude_control
0x19458,0x19464,16,4,0x19464,0x78006f00,0x40000000,0x38006f00,89783,main_entry_region
0xf8a8,0xf8e8,68,3,0xf8c8,0xd720ac05,0xa0000000,0x3720ac05,198971,main_entry_region
0x295c,0x2998,64,3,0x295c,0xc4005cff,0x90000000,0x34005cff,120027,main_entry_region
0x173f0,0x1742c,64,3,0x1742c,0x414201a8,0x0,0x414201a8,111374,main_entry_region
0x1f3dc,0x1f418,64,3,0x1f3fc,0xd8005fb4,0xa0000000,0x38005fb4,85867,main_entry_region
0x4d68,0x4da0,60,3,0x4d68,0x58006e00,0x20000000,0x38006e00,89527,main_entry_region
0xd38c,0xd3c4,60,3,0xd3c4,0x68005d36,0x30000000,0x38005d36,85229,main_entry_region
0xd3fc,0xd434,60,3,0xd418,0x94006f00,0x60000000,0x34006f00,124636,main_entry_region
0x19d00,0x19d38,60,3,0x19d00,0x58005fe0,0x20000000,0x38005fe0,85911,main_entry_region
0x5bb4,0x5be8,56,3,0x5bb4,0x29b40060,0x20000000,0x9b40060,168148,main_entry_region
0x5d68,0x5d9c,56,3,0x5d9c,0x64006e00,0x30000000,0x34006e00,124380,main_entry_region
0xc2e4,0xc314,52,3,0xc314,0x64005f65,0x30000000,0x34005f65,120641,main_entry_region
0xd7a0,0xd7d0,52,3,0xd7a0,0x943ddad1,0x60000000,0x343ddad1,2008,main_entry_region
0x16d48,0x16d78,52,3,0x16d48,0xc0444f4f,0xc0000000,0x444f4f,146521,main_entry_region
0x1d2b0,0x1d2e0,52,3,0x1d2e0,0x41425c54,0x0,0x41425c54,134586,main_entry_region
0x1ebe0,0x1ec10,52,3,0x1ebe0,0x54414f42,0x20000000,0x34414f42,228425,main_entry_region
0x6ec8,0x6ef4,48,3,0x6ec8,0xa8006e24,0x70000000,0x38006e24,89563,main_entry_region
0xe658,0xe684,48,3,0xe658,0xb4006e00,0x80000000,0x34006e00,124380,main_entry_region
0x1107c,0x110a8,48,3,0x110a8,0xb40d4305,0x80000000,0x340d4305,149665,main_entry_region
0x114d8,0x11504,48,3,0x114d8,0xc4006009,0x90000000,0x34006009,120805,main_entry_region
0x116cc,0x116f8,48,3,0x116cc,0x61420501,0x20000000,0x41420501,112231,main_entry_region
0x11f84,0x11fb0,48,3,0x11f90,0x420000,0x0,0x420000,4854,main_entry_region
0x12300,0x1232c,48,3,0x12300,0xf8006e00,0xc0000000,0x38006e00,89527,main_entry_region
0x1441c,0x14448,48,3,0x14448,0x94bbac57,0x60000000,0x34bbac57,34119,main_entry_region
0x15bfc,0x15c28,48,3,0x15c1c,0xa8005e55,0x70000000,0x38005e55,85516,main_entry_region
0x18cd8,0x18d04,48,3,0x18d04,0x58005ca4,0x20000000,0x38005ca4,85083,main_entry_region
0x192e8,0x19314,48,3,0x19314,0x6042ec03,0x60000000,0x42ec03,55565,main_entry_region
0x19b94,0x19bc0,48,3,0x19b94,0xd4006f00,0xa0000000,0x34006f00,124636,main_entry_region
0x1d908,0x1d934,48,3,0x1d928,0xb8021c02,0x80000000,0x38021c02,199609,main_entry_region
0x1e0e4,0x1e110,48,3,0x1e0e4,0x58005fbe,0x20000000,0x38005fbe,85877,main_entry_region
0x20718,0x20744,48,3,0x20718,0x78005ed6,0x40000000,0x38005ed6,85645,main_entry_region
0x3974,0x399c,44,3,0x399c,0x5723be14,0x20000000,0x3723be14,2260,main_entry_region
0x8b3c,0x8b64,44,3,0x8b3c,0x74be26dc,0x40000000,0x34be26dc,128318,main_entry_region
0xe318,0xe340,44,3,0xe318,0xa8004c4d,0x70000000,0x38004c4d,80900,main_entry_region
