marker_offset_hex,tag,next_marker_hex,span_len,clear_count,path_count,first_path_or_clear
0xb43a,l,0xb47b,65,1,1,VEHICLES\JUMP
0x10763,n,0x107a4,65,1,1,WOOLDAND\CAR.PSM
0x12e6f,l,0x12eb0,65,1,1,APSM\COURSE\TURKEY1\TOP-TGA.GXI
0x16f2f,n,0x16f6f,64,1,1,"?U\""l"
0x1ad38,l,0x1ad78,64,1,1,2.BSP
0x8c9f,l,0x8cde,63,1,1,>-\Nl
0xbfe7,o,0xc026,63,1,1,SCREENS\PS2\RACERESULTS.XML
0x1a115,l,0x1a154,63,1,1,-TGA.GXI
0x1871e,l,0x1875c,62,1,1,.BSP
0x202cf,l,0x2030c,61,1,1,COURSE\FRANCE1\F_GRASS_2|
0x1c62f,l,0x1c66b,60,1,1,NDSCREENS\PS2\TRAINING.XML
0x1d41f,l,0x1d45b,60,1,1,SCREENS\PS2\GAMESELECT2.XML
0xc8bf,l,0xc8fa,59,1,1,En\%n
0xfdda,l,0xfe15,59,1,1,"s\#@q"""
0x208b5,l,0x208f0,59,1,1,"?""\,l"
0x1155f,l,0x11599,58,1,1,"]'\""+4"
0x35ea,l,0x3622,56,1,1,S\PS2\RACEDETAILS2.XML
0x1d099,l,0x1d0d1,56,1,1,":GF""\el"
0x8a38,n,0x8a6f,55,1,1,BOX.PSB
0x12fab,l,0x12fe2,55,1,1,FONTS\v
0x191ef,l,0x19226,55,1,1,MISC\COPTER\HELI_MAINROTOR.PSM
0x1f24b,l,0x1f282,55,1,1,A.GXI
0xc844,n,0xc87a,54,1,1,C*\=l
0xc195,l,0xc1ca,53,1,1,COMMl\
0x260d,n,0x2641,52,1,1,SPAIN_S1\ROAD1A-TGA.GXI
0x12ee8,l,0x12f1b,51,1,1,HUD\MASTER_TEMPLATE.PSB
0x18aa,n,0x18dc,50,1,1,VEHICLES\MOONBUGGY\WHEEL.PSM
0x90b6,l,0x90e7,49,1,1,MISC\CLOTHBALLGXM(0
0x9f7c,l,0x9fad,49,1,1,VEHICLES\JUMP\WHEEL.PSM
0x15fe4,l,0x16015,49,1,1,VEHICLES\BRUNO\WHEEL.PSM
0x1ed6d,l,0x1ed9e,49,1,1,16\x
0x119b0,l,0x119e0,48,1,1,CARS\'$
0x164fd,l,0x1652d,48,1,1,.XML
0x19bb1,l,0x19be1,48,1,1,16\x
0x1f3c6,l,0x1f3f6,48,1,1,.XML
0x813a,n,0x8169,47,1,1,S\PS2\OPTIONS.XML
0x125f2,l,0x12621,47,1,1,S1\BED TO MUDO
0x17718,l,0x17747,47,1,1,.PSB
0x39b5,n,0x39e3,46,1,1,"""E""\$n"
0x11f3a,l,0x11f67,45,1,1,1.XML
