string_offset_hex,string_len,path,prev_marker_hex,marker_to_string_dist,tag,pre24_hex,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,extension
0x549d,5,HG\[n,0x5437,102,n,fc9b5d0028ee5c008c4e7c16024d41494e31a01702cfe417,024d41494e31a01702cfe417,0x49414d02,0x17a0314e,0xcf02,0x17e4,
0x54aa,20,HUD\HUD-TEMPLATE.PSB,0x5437,115,n,4d41494e31a01702cfe41748475c5b6e00a049353c09000d,475c5b6e00a049353c09000d,0x6e5b5c47,0x3549a000,0x93c,0xd00,PSB
0x5aec,10,S3FLIP.XML,0x5ad4,24,n,00006e003c2431fc07243c3e015241434523203a9c1b0001,015241434523203a9c1b0001,0x43415201,0x3a202345,0x1b9c,0x100,XML
0x5ce8,7,DND)\Wn,0x5c88,96,l,d8fc5e00d4c3313c012b3c0c035f4d5c54454e2ad43d02b6,035f4d5c54454e2ad43d02b6,0x5c4d5f03,0x2a4e4554,0x3dd4,0xb602,
0x60b7,53,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x6081,54,n,46600000000000110000410f00002c0f0000003201000000,00002c0f0000003201000000,0xf2c0000,0x32000000,0x1,0x0,GXI
0x613d,5,1.PSM,0x60f5,72,l,45374a24006c000108395e006000310c01294d0231cc130b,6000310c01294d0231cc130b,0xc310060,0x24d2901,0xcc31,0xb13,PSM
0x6205,4,.PSB,0x61db,42,l,445c4e45575c5449544c4553435245454e5c42475f98010b,435245454e5c42475f98010b,0x45455243,0x47425c4e,0x985f,0xb01,PSB
0x6525,6,S2.CFL,0x64df,70,n,2d5f00e01c2dcc0a095343454e455c49434f4e545ca0440e,4e455c49434f4e545ca0440e,0x495c454e,0x544e4f43,0xa05c,0xe44,CFL
0x6789,5,"D""\)l",0x6769,32,n,18cc09bc24034d5c50414c4d22ed2c5828b8050269727d09,22ed2c5828b8050269727d09,0x582ced22,0x205b828,0x7269,0x97d,
0x67f2,4,.BSP,0x67c1,49,n,2b03ed401cc013006e00d8ac3c6c04dc09251c232b340007,3c6c04dc09251c232b340007,0xdc046c3c,0x231c2509,0x342b,0x700,BSP
0x6b66,5,3.XML,0x6b4e,24,n,00006e00b01531ec0c242c380252414345542230398c0908,0252414345542230398c0908,0x43415202,0x30225445,0x8c39,0x809,XML
0x6d35,11,FMV\GO2.PSS,0x6d00,53,l,5247298061051deba137048038006e0018bbbc459c110005,38006e0018bbbc459c110005,0x6e0038,0x45bcbb18,0x119c,0x500,PSS
0x6fc9,6,:B{\6l,0x6fa6,35,l,2d6c0b380c13094d52414c4c59454c4556454c8099021415,59454c4556454c8099021415,0x454c4559,0x804c4556,0x299,0x1514,
0x6fe7,37,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI,0x6fa6,65,l,000340f95f00d4342c8c031100002c0f0000aa0f0000001e,00002c0f0000aa0f0000001e,0xf2c0000,0xfaa0000,0x0,0x1e00,GXI
0x71c0,22,VEHICLES\BRUNO\CAR.PSM,0x718f,49,l,900408696969391a2e48347801006c00713c60321c01000d,01006c00713c60321c01000d,0x6c0001,0x32603c71,0x11c,0xd00,PSM
0x7395,7,FONTS\v,0x738a,11,n,4f4f46282001059b1ded47ec0900006e00403620032c1003,0900006e00403620032c1003,0x6e000009,0x20364000,0x2c03,0x310,
0x766a,6,M2.XML,0x7650,26,n,6e00685331dc06075343454e455c5241434523c02b8c120c,455c5241434523c02b8c120c,0x41525c45,0xc0234543,0x8c2b,0xc12,XML
0x769f,15,CLOTHBALLGXM\(2,0x7677,40,n,50295c1b05a4b71e48207001006e0090a6351c01235c230a,006e0090a6351c01235c230a,0x90006e00,0x11c35a6,0x5c23,0xa23,
0x775c,6,rAI\ n,0x7740,28,l,03dc4f5d001c9531ac08227c365bdf4855442724040243b5,365bdf4855442724040243b5,0x48df5b36,0x24274455,0x204,0xb543,
0x782d,4,.CFL,0x77e5,72,l,405f006c2eac04ac120349434f4e545ca24f5332228c3f0c,4f4e545ca24f5332228c3f0c,0x5c544e4f,0x32534fa2,0x8c22,0xc3f,CFL
0x786c,16,FMV\MICROIDS.PSS,0x783a,50,n,c4120575089e3cfd5c07006c00038c30600064a9cc370009,00038c30600064a9cc370009,0x308c0300,0xa9640060,0x37cc,0x900,PSS
