candidate_file,recommended_manual_review_priority,why
43fc9b_stage28_rank01_pos008_219590B9_21BF90B9.pss,high,strongest probe + support
43fc9b_stage28_rank02_pos148_00FBFA00_0125FA00.pss,high,strongest probe + support
43fc9b_stage28_rank03_pos040_0D0034D8_0D2A34D8.pss,high,strongest probe + support
43fc9b_stage28_rank04_pos040_36A448D2_36CE48D2.pss,medium,secondary follow-up
43fc9b_stage28_rank05_pos020_21AF612C_21D9612C.pss,medium,secondary follow-up
43fc9b_stage28_rank06_pos148_31821C53_31AC1C53.pss,high,strongest probe + support
43fc9b_stage28_rank07_pos164_009C6F9F_00C66F9F.pss,medium,secondary follow-up
