candidate_file,domain,layer,family_hint,confidence,resolution,duration,video_codec
43fc9b_stage28_rank01_pos008_219590B9_21BF90B9.pss,43fc9b,secondary_candidate_bundle,track_or_challenge_preview_family,medium,512x256,17.42,mpeg1video
43fc9b_stage28_rank02_pos148_00FBFA00_0125FA00.pss,43fc9b,secondary_candidate_bundle,unknown_media_family,low,512x256,,mpeg1video
43fc9b_stage28_rank03_pos040_0D0034D8_0D2A34D8.pss,43fc9b,secondary_candidate_bundle,no_video_hint,low,,95454.037689,
43fc9b_stage28_rank04_pos040_36A448D2_36CE48D2.pss,43fc9b,secondary_candidate_bundle,track_or_challenge_preview_family,medium,512x256,18.36,mpeg2video
43fc9b_stage28_rank05_pos020_21AF612C_21D9612C.pss,43fc9b,secondary_candidate_bundle,no_video_hint,low,,17.6,
43fc9b_stage28_rank06_pos148_31821C53_31AC1C53.pss,43fc9b,secondary_candidate_bundle,unknown_media_family,low,512x256,,mpeg2video
43fc9b_stage28_rank07_pos164_009C6F9F_00C66F9F.pss,43fc9b,secondary_candidate_bundle,no_video_hint,low,,,
