pos,in_range,in_range_ratio,aligned16_ratio,aligned0x800_ratio,unique_vals,min_val,max_val,sample_starts
292,109,0.2483,0.0734,0.0,193,8079440,4289332216,oor | 33e2bb138d52e958 | 4c203e7048200000
164,108,0.246,0.0741,0.0,151,1189077,4257638417,oor | oor | 007c076c027c007c
376,107,0.2437,0.1495,0.0467,201,0,4282556471,oor | oor | oor
456,107,0.2437,0.0561,0.0093,210,0,4280717447,oor | oor | oor
360,106,0.2415,0.1038,0.0189,199,0,4240631417,91ffae19278364da | oor | 485c59611fec4483
64,106,0.2415,0.0849,0.0,108,14597677,4139131821,oor | oor | 1005f619ee6130b0
404,104,0.2369,0.0769,0.0096,205,0,4257264937,8f7ea4b489696171 | ac3c8af17f3f9112 | oor
140,103,0.2346,0.0583,0.0,151,40788,4294967295,oor | oor | oor
208,100,0.2278,0.06,0.04,167,0,4214225691,oor | c4e9796ef83e42e8 | oor
132,99,0.2255,0.0707,0.0,148,41052,4277011232,oor | oor | oor
220,99,0.2255,0.0606,0.0202,174,0,4288127045,oor | 19534d3a545d1959 | oor
76,99,0.2255,0.0303,0.0,116,2949222,4217140096,5c0c30580705dd11 | oor | oor
212,97,0.221,0.1753,0.0412,169,0,4275479203,6133ff9b14d74830 | oor | 40c03dc4a17d3f14
72,97,0.221,0.1134,0.0,114,75872818,4273889560,oor | oor | oor
272,93,0.2118,0.0538,0.0215,191,0,4235053122,oor | 2cdff3a4cf777511 | 3149758af42661bf
240,92,0.2096,0.0109,0.0,186,5209963,4290151684,cc20c21ca18c3525 | oor | oor
80,88,0.2005,0.125,0.0,115,30995866,4292691972,oor | oor | oor
312,80,0.1822,0.1375,0.025,195,599337,4294967295,oor | 18a0085883359d72 | f7fa4d03fb4d00fc
44,52,0.1185,0.4808,0.0,84,152808432,4151194457,oor | d58d37c434a7f1a0 | oor
48,43,0.0979,0.0,0.0,98,188727985,4062435182,oor | 58007c07ac000001 | oor
16,19,0.0433,0.0,0.0,45,128637174,3925275201,oor | oor | f7229c3c021a0f0e
12,14,0.0319,0.0,0.0,20,63108709,4136914281,oor | oor | oor
20,12,0.0273,0.0,0.0,48,397387514,4191337165,oor | oor | oor
