path,member_group,string_offset_hex,subgroup_anchor_hex,member_key_hex,edge_field,edge_field_value_hex,decode_mode,tng_window_start_hex,tng_window_end_hex,start_delta_bytes,duration_s,codec,resolution,status,content_class,semantic_label,support
FMV\CHALL04.PSS,page1_low16_bankroot,0x15fcb,0x15ef8,0x0900127c,pre_u32_m24,0x32E14A2F,direct_exact_pack_start,0x32E14A2F,0x333D4A33,0,25.000,mpeg2video,512x256,exact_clean,challenge_preview_fmv,BFGoodrich-style multi-vehicle challenge FMV,page1 subgroup + unique member key + exact pack hit + visual match
\FMV\TROPHY.PSS,page1_low16_bankroot,0x1b34f,0x15fb6,0x06000c4c,pre_u32_m24,0x3D9EFE11,direct_exact_pack_start,0x3D9EFE11,0x3DC0FE15,0,24.960,mpeg2video,512x256,exact_clean,trophy_fmv,trophy/checkered-globe award FMV,page1 subgroup + unique member key + exact pack hit + visual match
FMV\BFGOOD1.PSS,page1_low16_bankroot,0x1d362,0x15d29,0x0900337c,pre_u32_m24,0x31164E1A,direct_exact_pack_start,0x31164E1A,0x315E4E1E,0,25.000,mpeg2video,512x256,exact_clean,track_menu_preview_fmv,BFGoodrich-branded preview FMV,page1 subgroup + unique member key + exact pack hit + visual match
