domain,residual_hits,provenance,scope
43fc9f,236,reconstructed_from_contemporaneous_session_log_v216,top_residual_domains_only
43fc7b,53,reconstructed_from_contemporaneous_session_log_v216,top_residual_domains_only
43fcd2,20,reconstructed_from_contemporaneous_session_log_v216,top_residual_domains_only
43fcfa,19,reconstructed_from_contemporaneous_session_log_v216,top_residual_domains_only
43fc48,18,reconstructed_from_contemporaneous_session_log_v216,top_residual_domains_only
