sig8,body_prefix,domain,hit_count,min_record_offset,max_record_offset
0000010c43fc9ae9,7321,43fc9a,99,68966,939673642
0000010c43fc7d92,c900,43fc7d,44,173548478,1005058785
0000010c43fc7d92,c90f,43fc7d,29,186744207,1004794990
0000010c43fc86e9,530f,43fc86,7,196890762,1008418041
0000010c43fc9b4d,7f94,43fc9b,5,19677091,834864348
0000010c43fc86e9,6487,43fc86,3,196524627,1006767870
0000010c43fc9bf6,ba01,43fc9b,1,1035389302,1035389302
