rank,candidate_file,family_hint,duration_s
1.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank01_pos028_34FD27FB_34FFE7FB.pss,possible_track_or_menu_preview,0.96
2.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank02_pos01c_3625B5A0_362875A0.pss,possible_track_or_menu_preview,1.36
3.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank03_pos094_36AA429B_36AD029B.pss,possible_track_or_menu_preview,1.16
4.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank04_pos020_2436F4D6_2439B4D6.pss,video_like_nonstandard,1.059633
5.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank05_pos01c_30B67AE2_30B93AE2.pss,possible_track_or_menu_preview,1.0
6.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank06_pos094_350D5479_35101479.pss,possible_track_or_menu_preview,0.96
7.0,/mnt/data/semantic_pass_cross_domain_stage41/candidate_media/43fc86_stage41_rank07_pos008_23858764_23884764.pss,video_like_nonstandard,0.6
