media_id,family,class,path,notes
43fc84_track_menu_preview_partial_01,track_menu_preview_family_01,track_menu_preview_partial,43fc84_track_menu_preview_partial_01_3603A000_3623A000.pss,Elf Cup race 1; plays clean; ends about 1 second before original end
43fc84_track_menu_preview_partial_02,track_menu_preview_family_01,track_menu_preview_partial,43fc84_track_menu_preview_partial_02_37FA6000_381A6000.pss,GO Cup race 3; plays clean; ends about 0.5 second before original end
43fc84_track_menu_preview_partial_03,track_menu_preview_family_01,track_menu_preview_partial,43fc84_track_menu_preview_partial_03_3B3DA000_3B5DA000.pss,Master Rallye mode race 5; starts mid-preview; ends about 2 seconds before original end
43fc84_menu_background_fragment_01,menu_background_family_01,menu_background_fragment,43fc84_menu_background_fragment_01_39B0B000_39D0B000.pss,Main menu background fragment
43fc84_menu_background_fragment_02,menu_background_family_01,menu_background_fragment,43fc84_menu_background_fragment_02_39369000_39569000.pss,Main menu background fragment
43fc84_challenge_preview_partial_01,challenge_preview_family_misc,challenge_preview_partial,43fc84_challenge_preview_partial_01_31F8B000_3218B000.pss,Challenge 1 preview; starts from middle; ends about 3 seconds before original end
