record_offset,sig8,body_prefix,pos008,pos014,pos01c,pos020,pos024,pos028,pos088,pos094,pos0a4,pos148,pos164
1005058785,0000010c43fc7d92,c900,3550871753,481242486,3179127725,3887439743,693978027,574036987,1016117777,1923813641,21143663,3972140417,1956865946
186744207,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,4013693797,2084789152
187643069,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3747316638,2943032514
189416077,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,2456697439,2770945234
190107272,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,2879791826,2944005861
191040091,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,280832336,1942509149
191946045,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3584326251,1301132301
193810990,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,1928111660,2209400949
194547603,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,428400265,3432382814
592496770,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,4013693797,2084789152
593395632,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3747316638,2943032514
595168640,0000010c43fc7d92,c90f,1844711369,3369821751,4215692061,1832910778,1564716007,2384132905,925156601,2444261226,1039353546,2456697439,2770945234
595859835,0000010c43fc7d92,c90f,1175064521,3689727584,3512076182,3485460158,3505027547,3330165463,1948464757,2290400595,2032395623,2879791826,2944005861
596792654,0000010c43fc7d92,c90f,1844711369,665679459,2914375041,2130605559,2253836251,32920506,133716663,3627791803,3163681299,280832336,1942509149
597698608,0000010c43fc7d92,c90f,1844711369,3165484643,1874122113,4143165371,901020382,263233490,3717206247,1222130485,2390303717,3584326251,1301132301
