rank,position,start_offset,end_offset,bytes,codec,duration,resolution,family_hint,file,sheet
1,0x01C,0x1D5B46FB,0x1D8546FB,2752512,mpeg1video,12.060000,512x256,preview_like,43fc7d_stage26_rank01_pos01c_1D5B46FB_1D8546FB.pss,43fc7d_stage26_rank01_pos01c_1D5B46FB_1D8546FB.png
2,0x094,0x353BD848,0x3565D848,2752512,mpeg2video,11.240000,512x256,preview_like,43fc7d_stage26_rank02_pos094_353BD848_3565D848.pss,43fc7d_stage26_rank02_pos094_353BD848_3565D848.png
3,0x014,0x3766DBC8,0x3790DBC8,2752512,mpeg2video,14.640000,512x256,preview_like,43fc7d_stage26_rank03_pos014_3766DBC8_3790DBC8.pss,43fc7d_stage26_rank03_pos014_3766DBC8_3790DBC8.png
4,0x014,0x376AD347,0x3794D347,2752512,mpeg2video,14.440000,512x256,preview_like,43fc7d_stage26_rank04_pos014_376AD347_3794D347.pss,43fc7d_stage26_rank04_pos014_376AD347_3794D347.png
5,0x020,0x07C63DF5,0x07F03DF5,2752512,mpeg1video,,512x256,unknown,43fc7d_stage26_rank05_pos020_07C63DF5_07F03DF5.pss,43fc7d_stage26_rank05_pos020_07C63DF5_07F03DF5.png
6,0x088,0x375607B7,0x378007B7,2752512,mpeg2video,,512x256,unknown,43fc7d_stage26_rank06_pos088_375607B7_378007B7.pss,43fc7d_stage26_rank06_pos088_375607B7_378007B7.png
