position,best_frequency,unique_values,top_values
0x014,7,9,47B6D561:7 | 3766DBC8:6 | 376AD347:6 | 1BB36DE4:4 | 2D56F41B:3 | 1CDDAB6B:3
0x020,7,4,07C63DF5:7 | 01141F18:4 | 2369D3C8:1 | 40FE49FF:1
0x01C,6,6,1D5B46FB:6 | 0EADA37D:4 | 378D520D:3 | 03AB6CDF:3 | 0756D1BF:1 | 03AB68DF:1
0x028,6,4,3F6365E7:6 | 29FB1A8E:6 | 36A94D70:3 | 48D15BC9:1
0x088,6,8,375607B7:6 | 42437560:4 | 11BA903C:4 | 40118BEB:3 | 090DD1A5:3 | 09A5B71C:3
0x094,6,11,353BD848:6 | 1AAE13F9:4 | 0911AB72:4 | 225E51B9:3 | 07068B7E:3 | 0BA737E6:3
0x0A4,6,10,13F291BC:6 | 021009B9:4 | 084026E7:4 | 064DEEFA:3 | 125B7CFC:3 | 0648496E:3
0x008,3,2,36D469C2:3 | 24029B55:3
0x024,3,4,1B7BEAD0:3 | 1BCF5686:2 | 179EAD0D:2 | 09B4A03F:1
