rec_off,pos,mode,field_val,cand_off,delta,sig,sig8,body_prefix,tail_sig8
95181786,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
97324291,108,abs,68,68,1,pss_pack,0000010c43fc6585,4039,
98816429,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
500934349,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
503076854,108,abs,68,68,1,pss_pack,0000010c43fc6585,4039,
504568992,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
906012213,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
909625330,108,abs,115344352,115344352,0,mpeg_video,0000010c43fc6585,4039,0000010d43fc654b
911492496,108,abs,68,68,1,pss_pack,0000010c43fc6585,4039,0000010d43fc67b0
