candidate_file,field_pos,cand_off,start,end,size_bytes,file_ident,ffprobe_rc,streams,format_name,duration
43fc65_pos108_off06E003E0_cand1.pss,108,115344352,115336095,117913451,2577360,"MPEG sequence, v2, program multiplex",0,1,mpeg,14.640000
43fc65_pos256_off0760F3AD_cand2.pss,256,123794349,123777822,130932909,7155091,"MPEG sequence, v2, program multiplex",0,1,mpeg,17.476089
43fc65_pos136_off3D305929_cand3.pss,136,1026578729,1026562277,1033829890,7267617,"MPEG sequence, v2, program multiplex",0,2,mpeg,28.584000
43fc65_pos340_off33E40A40_cand4.pss,340,870582848,870582839,871844407,1261572,"MPEG sequence, v2, program multiplex",0,1,mpeg,4.680000
