rank,source_start_hex,source_end_hex,expanded_start_hex,expanded_end_hex,expanded_size,candidate_file,contact_sheet,video_streams,audio_streams,codec_name,width,height,duration,note
1,36FA87CC,36FD47CC,36FA6B11,371A6B11,2097152,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank01_expanded_36FA6B11_371A6B11.pss,/mnt/data/semantic_pass_cross_domain_stage35/contact_sheets/43fc85_stage35_rank01_36FA6B11_371A6B11.png,1,0,mpeg2video,512,256,11.640000,adaptive expansion from fixed scout window 0x2C000
2,375B1DBA,375DDDBA,375AEB19,377AEB19,2097152,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank02_expanded_375AEB19_377AEB19.pss,/mnt/data/semantic_pass_cross_domain_stage35/contact_sheets/43fc85_stage35_rank02_375AEB19_377AEB19.png,1,0,mpeg2video,512,256,11.640000,adaptive expansion from fixed scout window 0x2C000
3,377A06F3,377CC6F3,3779EB19,3799EB19,2097152,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank03_expanded_3779EB19_3799EB19.pss,/mnt/data/semantic_pass_cross_domain_stage35/contact_sheets/43fc85_stage35_rank03_3779EB19_3799EB19.png,1,0,mpeg2video,512,256,11.080000,adaptive expansion from fixed scout window 0x2C000
4,37FEFCEB,3801BCEB,37FEEB21,381EEB21,2097152,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank04_expanded_37FEEB21_381EEB21.pss,/mnt/data/semantic_pass_cross_domain_stage35/contact_sheets/43fc85_stage35_rank04_37FEEB21_381EEB21.png,1,0,mpeg2video,512,256,11.840000,adaptive expansion from fixed scout window 0x2C000
5,35B4FADE,35B7BADE,35B4CA4B,35C6CA4B,1179648,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank05_expanded_35B4CA4B_35C6CA4B.pss,/mnt/data/semantic_pass_cross_domain_stage35/contact_sheets/43fc85_stage35_rank05_35B4CA4B_35C6CA4B.png,1,0,mpeg2video,512,256,,adaptive expansion from fixed scout window 0x2C000
6,3DC07E4A,3DC33E4A,3DC07E11,3DD27E11,1179648,/mnt/data/semantic_pass_cross_domain_stage35/candidate_media/43fc85_stage35_rank06_expanded_3DC07E11_3DD27E11.pss,,0,0,,,,,adaptive expansion from fixed scout window 0x2C000
