sig8,body_prefix,hits
43fc8592,cc87,20
43fc8592,c909,9
43fc8592,c90f,6
43fc8592,cc80,4
43fc858b,321e,3
43fc8592,c900,3
43fc8546,4f65,1
43fc8592,cc84,1
