rank,field_offset,field_name,start_hex,end_hex,start,end,support,video_streams,audio_streams,codec_name,width,height,duration,candidate_file,contact_sheet,rank_score
1,0x008,pos008,36FA87CC,36FD47CC,922388428,922568652,11,1,0,mpeg2video,512,256,1.320000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank01_pos008_36FA87CC_36FD47CC.pss,/mnt/data/semantic_pass_cross_domain_stage34/contact_sheets/43fc85_stage34_rank01_pos008_36FA87CC_36FD47CC.png,29
2,0x024,pos024,375B1DBA,375DDDBA,928718266,928898490,6,1,0,mpeg2video,512,256,1.160000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank02_pos024_375B1DBA_375DDDBA.pss,/mnt/data/semantic_pass_cross_domain_stage34/contact_sheets/43fc85_stage34_rank02_pos024_375B1DBA_375DDDBA.png,24
3,0x014,pos014,377A06F3,377CC6F3,930744051,930924275,3,1,0,mpeg2video,512,256,0.960000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank03_pos014_377A06F3_377CC6F3.pss,/mnt/data/semantic_pass_cross_domain_stage34/contact_sheets/43fc85_stage34_rank03_pos014_377A06F3_377CC6F3.png,21
4,0x020,pos020,37FEFCEB,3801BCEB,939457771,939637995,3,1,0,mpeg2video,512,256,1.080000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank04_pos020_37FEFCEB_3801BCEB.pss,/mnt/data/semantic_pass_cross_domain_stage34/contact_sheets/43fc85_stage34_rank04_pos020_37FEFCEB_3801BCEB.png,21
5,0x024,pos024,35B4FADE,35B7BADE,901053150,901233374,3,1,0,mpeg2video,512,256,0.760000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank05_pos024_35B4FADE_35B7BADE.pss,/mnt/data/semantic_pass_cross_domain_stage34/contact_sheets/43fc85_stage34_rank05_pos024_35B4FADE_35B7BADE.png,21
6,0x028,pos028,3DC07E4A,3DC33E4A,1036025418,1036205642,3,1,0,mpeg2video,512,256,0.280000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank06_pos028_3DC07E4A_3DC33E4A.pss,,21
7,0x094,pos094,1ED9FD13,1EDCBD13,517602579,517782803,3,1,0,mpeg2video,512,256,1.040000,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank07_pos094_1ED9FD13_1EDCBD13.pss,,21
