media_id,family_id,content_class,domain,start_offset,end_offset,bytes,codec,duration,resolution,source_candidate_file,manual_validation
43fc7b_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,43fc7b,916849242,919732826,2883584,mpeg2video,19.4,512x256,43fc7b_stage30_rank03_pos024_36A6025A_36D2025A.pss,accepted
43fc9b_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,43fc9b,916736210,919488722,2752512,mpeg2video,18.36,512x256,43fc9b_stage28_rank04_pos040_36A448D2_36CE48D2.pss,accepted
43fc9b_track_menu_preview_02_trimmed,track_menu_preview_family_01,track_menu_preview_fmv,43fc9b,830610515,833363027,2752512,mpeg2video,7.0,512x256,43fc9b_stage28_rank06_pos148_31821C53_31AC1C53.pss,accepted_trimmed
43fc9a_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,43fc9a,925087040,927970624,2883584,mpeg2video,16.8,512x256,43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,accepted
43fc9a_challenge_preview_01,43fc9a_challenge_preview_01,challenge_preview_fmv,43fc9a,885911548,888795132,2883584,mpeg2video,12.6,512x256,43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,accepted
43fc7d_challenge_preview_01,43fc7d_challenge_preview_01,challenge_preview_fmv,43fc7d,893114440,895866952,2752512,mpeg2video,11.24,512x256,43fc7d_stage26_rank02_pos094_353BD848_3565D848.pss,accepted
43fc7d_track_menu_preview_01,track_menu_preview_family_01,track_menu_preview_fmv,43fc7d,929747783,932500295,2752512,mpeg2video,14.44,512x256,43fc7d_stage26_rank04_pos014_376AD347_3794D347.pss,accepted
