rank,candidate_file,hint_family,hint_media,hint_distance,hint_confidence,hint_basis
1,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank01_pos008_36FA87CC_36FD47CC.pss,track_menu_preview_family_01,43fc9b_track_menu_preview_01_36A448D2_36CE48D2,16,weak,first_frame_ahash_nearest_clean_atlas
2,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank02_pos024_375B1DBA_375DDDBA.pss,track_menu_preview_family_01,43fc7d_track_menu_preview_01_376AD347_3794D347,17,weak,first_frame_ahash_nearest_clean_atlas
3,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank03_pos014_377A06F3_377CC6F3.pss,track_menu_preview_family_01,43fc7d_track_menu_preview_01_376AD347_3794D347,17,weak,first_frame_ahash_nearest_clean_atlas
4,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank04_pos020_37FEFCEB_3801BCEB.pss,track_menu_preview_family_01,43fc7d_track_menu_preview_01_376AD347_3794D347,17,weak,first_frame_ahash_nearest_clean_atlas
5,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank05_pos024_35B4FADE_35B7BADE.pss,track_menu_preview_family_01,43fc9b_track_menu_preview_02_trimmed,18,weak,first_frame_ahash_nearest_clean_atlas
6,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank06_pos028_3DC07E4A_3DC33E4A.pss,track_menu_preview_family_01,43fc9b_track_menu_preview_01_36A448D2_36CE48D2,20,weak,first_frame_ahash_nearest_clean_atlas
7,/mnt/data/semantic_pass_cross_domain_stage34/candidate_media/43fc85_stage34_rank07_pos094_1ED9FD13_1EDCBD13.pss,challenge_preview_like,43fc7d_challenge_preview_01_353BD848_3565D848,35,weak,first_frame_ahash_nearest_clean_atlas
