content_label,human_label,bank_id,media_class,stage7_output_file,stage7_sha256,hex_start,hex_end,record_count,branch_family_count,sig8_count,body_prefix_count,first_record_index,last_record_index,branch_families,sig8s,body_prefixes
challenge_preview_01,Challenge preview A,BANK_14,challenge_preview_fmv,challenge_preview_01_BANK_14_328C4A2B_32E14A2B.pss,9216fba9f80d37635136ab7e7e66b5e11ae387413ae84d0c688e501d5da9c51b,0x328C4A2B,0x32E14A2B,9,2,2,2,20,264,0000010c43fc6f91|2402 | 0000010c43fc6f92|c900,0000010c43fc6f91 | 0000010c43fc6f92,2402 | c900
challenge_preview_02,Challenge preview B,BANK_16,challenge_preview_fmv,challenge_preview_02_BANK_16_34670A3F_34B18A3F.pss,d7f20dc7abe02b461103d5d95460ad8b08e00217e450845120450f8072b218e3,0x34670A3F,0x34B18A3F,21,2,2,2,6,225,0000010c43fc6f8b|2402 | 0000010c43fc6f92|c807,0000010c43fc6f8b | 0000010c43fc6f92,2402 | c807
challenge_preview_03,Challenge preview C,BANK_17,challenge_preview_fmv,challenge_preview_03_BANK_17_34B5CA43_350B4A43.pss,b632bd1be2e26a2390af486de1fbf953094b5a3a05c9a8ed94ff3d73645ee1b3,0x34B5CA43,0x350B4A43,12,1,1,1,7,224,0000010c43fc6f91|201c,0000010c43fc6f91,201c
menu_background_01,Main menu background FMV,BANK_20,menu_background_fmv,menu_background_01_BANK_20_39B31E38_3A389E38.pss,994ccf2efb90116241e58305c9cd6e709c85d193432417076ba881ec485f6da2,0x39B31E38,0x3A389E38,10,2,2,2,22,266,0000010c43fc6f85|4805 | 0000010c43fc6f91|2015,0000010c43fc6f85 | 0000010c43fc6f91,2015 | 4805
