bank_id,media_class,source_file,copied_file,hex_start,hex_end,duration_probe
BANK_14,challenge_preview_fmv,/mnt/data/semantic_pass_43fc6f_stage2/43fc6f_stage2_revised_pos164_modeabs_cand3_328C4A2B_32E14A2B.pss,43fc6f_stage5_BANK_14_challenge_preview_fmv_328C4A2B_32E14A2B.pss,0x328C4A2B,0x32E14A2B,
BANK_16,challenge_preview_fmv,/mnt/data/semantic_pass_43fc6f_stage2/43fc6f_stage2_revised_pos20_modeabs_cand1_34670A3F_34B18A3F.pss,43fc6f_stage5_BANK_16_challenge_preview_fmv_34670A3F_34B18A3F.pss,0x34670A3F,0x34B18A3F,
BANK_17,challenge_preview_fmv,/mnt/data/semantic_pass_43fc6f_stage4/review_bundle/43fc6f_stage4_BANK_17_likely_preview_34B5CA43_350B4A43.pss,43fc6f_stage5_BANK_17_challenge_preview_fmv_34B5CA43_350B4A43.pss,0x34B5CA43,0x350B4A43,23.76
BANK_20,menu_background_fmv,/mnt/data/semantic_pass_43fc6f_stage4/review_bundle/43fc6f_stage4_BANK_20_extended_preview_candidate_39B31E38_3A389E38.pss,43fc6f_stage5_BANK_20_menu_background_fmv_39B31E38_3A389E38.pss,0x39B31E38,0x3A389E38,55.16
