bank_id,pos,start,end,size_bytes,support,streams_best_cut,format_name_best_cut,duration_best_cut,preview_like_score,rep_support,support_sum,num_contributors,positions,human_validated,validation_note,manual_status,manual_note,stage4_status,hex_start,hex_end,candidate_file,thumbnail_file,duration_probe,streams_probe,stream_types,format_name_probe,manual_status_stage5,manual_note_stage5,stage5_bank_class,usable_media,media_class
BANK_14,164,848054827,853625387,5570564,6,1,mpeg,23.16,118.0,6,6,1,0xA4,True,user-confirmed clean challenge preview (cand3),validated_preview,User-confirmed clean challenge preview (cand3).,validated_preview,0x328C4A2B,0x32E14A2B,,,,,,,validated_preview_clean,User-confirmed clean challenge preview (cand3).,clean_challenge_preview,True,challenge_preview_fmv
BANK_16,20,879168063,884050495,4882436,21,1,mpeg,19.8,268.0,21,21,1,0x14,True,user-confirmed clean challenge preview (cand1),validated_preview,User-confirmed clean challenge preview (cand1).,validated_preview,0x34670A3F,0x34B18A3F,,,,,,,validated_preview_clean,User-confirmed clean challenge preview (cand1).,clean_challenge_preview,True,challenge_preview_fmv
BANK_17,108,884329027,889932355,5603332,6,1,mpeg,23.76,118.0,6,12,2,0x6C,False,,,,likely_preview,0x34B5CA43,0x350B4A43,43fc6f_stage4_BANK_17_likely_preview_34B5CA43_350B4A43.pss,43fc6f_stage4_BANK_17_likely_preview_34B5CA43_350B4A43.png,23.76,1.0,video,mpeg,validated_preview_clean,User-confirmed clean challenge preview (stage4 BANK_17).,clean_challenge_preview,True,challenge_preview_fmv
