start,end,support,unique_records,unique_positions,min_target,max_target,mean_delta,min_delta,max_delta,size,start_hex,end_hex
461959291,466512796,1,1,1,461968850,461968850,9559.0,9559,9559,4553509,0x1B88F07B,0x1BCE6B9C
891079239,895601223,1,1,1,891083544,891083544,4305.0,4305,4305,4521988,0x351CCA47,0x3561CA47
837110307,841517603,1,1,1,837114753,837114753,4446.0,4446,4446,4407300,0x31E54A23,0x32288A23
468810581,472605967,1,1,1,468835282,468835282,24701.0,24701,24701,3795390,0x1BF17B55,0x1C2B650F
897632843,901302859,1,1,1,897644158,897644158,11315.0,11315,11315,3670020,0x3580CA4B,0x35B8CA4B
856132143,859769391,1,1,1,856140383,856140383,8240.0,8240,8240,3637252,0x33078A2F,0x333F0A2F
1001851455,1005423167,1,1,1,1001859678,1001859678,8223.0,8223,8223,3571716,0x3BB70A3F,0x3BED8A3F
1117115789,1120575617,1,1,1,1117171004,1117171004,55215.0,55215,55215,3459832,0x4295D58D,0x42CAA081
57711211,60760233,1,1,1,57715981,57715981,4770.0,4770,4770,3049026,0x3709A6B,0x39F20A9
13900925,16856694,1,1,1,13913285,13913285,12360.0,12360,12360,2955773,0xD41C7D,0x1013676
812589939,815140355,1,1,1,812600145,812600145,10206.0,10206,10206,2550420,0x306F2373,0x30960E03
505198360,507294987,1,1,1,505208266,505208266,9906.0,9906,9906,2096631,0x1E1CB718,0x1E3CB50B
22522611,24511986,1,1,1,22545031,22545031,22420.0,22420,22420,1989379,0x157AAF3,0x17605F2
498489970,500315885,1,1,1,498504266,498504266,14296.0,14296,14296,1825919,0x1DB65A72,0x1DD236ED
910531181,912338979,1,1,1,910533677,910533677,2496.0,2496,2496,1807802,0x36459A6D,0x36613023
59826855,60760233,1,1,1,59833062,59833062,6207.0,6207,6207,933382,0x390E2A7,0x39F20A9
417510987,417852280,1,1,1,417522957,417522957,11970.0,11970,11970,341297,0x18E2B64B,0x18E7EB78
202165939,202377097,1,1,1,202178798,202178798,12859.0,12859,12859,211162,0xC0CCEB3,0xC100789
36204000,36314931,1,1,1,36207360,36207360,3360.0,3360,3360,110935,0x2286DE0,0x22A1F33
