name,path,pak_string_offset_hex,semantic_family,decoder_family,field,rel,raw_u32_hex,transform,const_hex,target_hex,pack_start_hex,snap_delta_bytes,status,duration,streams,codecs,dims,ffprobe_stderr_head,contact_sheet,notes
INV1,FMV\INV1.PSS,0xd0d4,inventory_or_intro_fmv,early_u16_rootlink,pre_u32_m24,-24,0x381f2b25,direct,0x0,0x381f2b25,0x381f2b25,0,exact_clean,23.084422,1,mpeg2video,512x256,,INV1.png,
MICROIDS,FMV\MICROIDS.PSS,0x786c,microids_logo_fmv,early_u16_rootlink,pre_u32_m8,-8,0xa9640060,direct,0xa0000000,0x9640060,0x963fedf,385,operational_soft_clean,48.800000,2,"mpeg2video,mp2",512x256,[mpeg2video @ 0x7ecfc5a8f380] ignoring pic cod ext after 0 |     Last message repeated 4 times | [mpeg2video @ 0x7ecfc5a8f380] sequence header damaged |     Last message repeated 1 times | [mpeg2video @ 0x7ecfc5a8f380] ignoring pic cod ext after 0 |     Last message repeated 5 times | [mpeg2video @ 0x7ecfc5a8f380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7ecfc5a8f380] ignoring pic cod ext after 0 | [mpeg2video @ 0x7ecfc5a8f380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7ecfc5a8f380] ignoring pic cod ,,[mpeg2video @ 0x7ea190a94380] ignoring pic cod ext after 0 |     Last message repeated 4 times | [mpeg2video @ 0x7ea190a94380] sequence header damaged |     Last message repeated 1 times | [mpeg2video @ 0x7ea190a94380] ignoring pic cod ext after 0 | 
CHALL02,\FMV\CHALL02.PSS,0x8f62,challenge_preview_family,early_u16_rootlink,pre_u32_m32,-32,0x4005cc0,direct,0x0,0x4005cc0,0x4006400,1856,operational_soft_clean,8.799622,2,"mpeg2video,mp2",512x256,[mpeg2video @ 0x7edb7208f380] ignoring pic cod ext after 0 |     Last message repeated 5 times | [mpeg2video @ 0x7edb7208f380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7edb7208f380] ignoring pic cod ext after 0 |     Last message repeated 1 times | [mpeg2video @ 0x7edb7208f380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7edb7208f380] ignoring pic cod ext after 0 |     Last message repeated 4 times | [mp2 @ 0x7edb7208fa80] Header missing | ,CHALL02.png,[mpeg2video @ 0x7eee81294380] ignoring pic cod ext after 0 |     Last message repeated 5 times | [mpeg2video @ 0x7eee81294380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7eee81294380] ignoring pic cod ext after 0 |     Last message repeated 1 ti
GO2,FMV\GO2.PSS,0x6d35,go_preview_family,early_u16_rootlink,pre_u32_m24,-24,0x80294752,direct,0x60000000,0x20294752,0x20294797,69,evidence_only,,1,mpeg1video,512x256,[mpeg2video @ 0x7ecdd6e8f380] ignoring pic cod ext after 0 |     Last message repeated 2 times | [mpeg2video @ 0x7ecdd6e8f380] sequence header damaged | [mpeg2video @ 0x7ecdd6e8f380] ignoring pic cod ext after 0 | [mpeg2video @ 0x7ecdd6e8f380] sequence header damaged | [mpeg2video @ 0x7ecdd6e8f380] ignoring pic cod ext after 0 |     Last message repeated 2 times | [mpeg2video @ 0x7ecdd6e8f380] Invalid frame dimensions 0x0. | [mpeg2video @ 0x7ecdd6e8f380] ignoring pic cod ext after 0 |     Last message repeated 7 ,GO2.png,[mpeg2video @ 0x7ee1ed494380] ignoring pic cod ext after 0 |     Last message repeated 2 times | [mpeg2video @ 0x7ee1ed494380] sequence header damaged | [mpeg2video @ 0x7ee1ed494380] ignoring pic cod ext after 0 | [mpeg2video @ 0x7ee1ed494380] sequen
FUJ3,FMV\FUJ3.PSS,0x5422,fujitsu_preview_family,early_u16_rootlink,pre_u32_m24,-24,0x6e82953,swap16,0x10000000,0x195306e8,0x1953080e,294,evidence_only,,1,mpeg1video,512x256,[mpeg2video @ 0x7eee31a8f380] ignoring pic cod ext after 0 |     Last message repeated 1 times | [mpeg2video @ 0x7eee31a8f380] sequence header damaged |     Last message repeated 1 times | [mpeg2video @ 0x7eee31a8f380] ignoring pic cod ext after 0 | [mpeg2video @ 0x7eee31a8f380] Invalid frame dimensions 0x0. |     Last message repeated 1 times | [mpeg2video @ 0x7eee31a8f380] ignoring pic cod ext after 0 |     Last message repeated 8 times | [mpeg2video @ 0x7eee31a8f380] Invalid frame dimensions 0x0. | [mpeg2video @,FUJ3.png,[mpeg2video @ 0x7ecd0fe94380] ignoring pic cod ext after 0 |     Last message repeated 1 times | [mpeg2video @ 0x7ecd0fe94380] sequence header damaged |     Last message repeated 1 times | [mpeg2video @ 0x7ecd0fe94380] ignoring pic cod ext after 0 | 
ELF3,FMV\ELF3.PSS,0xf311,elf_preview_family,early_u16_rootlink,pre_u32_m24_altpack,-24,0x32690677,direct,0x0,0x32690677,0x32688a27,31824,evidence_only,8.122367,1,mpeg2video,512x256,[mpeg2video @ 0x7ef97c68f380] Invalid frame dimensions 0x0. | ,ELF3.png,[mpeg2video @ 0x7ef93ac94380] Invalid frame dimensions 0x0. |     Last message repeated 7 times | [mpeg2video @ 0x7ef93ac94e00] ac-tex damaged at 13 10 | [mpeg2video @ 0x7ef93ac94e00] Warning MVs not available | 
