table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x20c,0x5f6b,0x800,0x5f5c,15,l,0x60b7,332,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x210,0x6020,0x5000,0x601a,6,n,0x60b7,151,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x214,0x5fee,0x5000,0x5ff4,6,l,0x60b7,201,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x218,0x6020,0x7400,0x601a,6,n,0x60b7,151,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x220,0x6093,0x9c00,0x6081,18,n,0x60b7,36,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x228,0x6072,0xa000,0x6081,15,n,0x60b7,69,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x248,0x2560,0x1c02,0x2562,2,n,0x2623,195,SPAIN_S1\ROAD1A-TGA.GXI
0x24c,0x5ebc,0x6800,0x5ec4,8,n,0x60b7,507,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x278,0x7c00,0xf5c,0x7bfa,6,l,0x786c,916,FMV\MICROIDS.PSS
0x27c,0x1807,0x5e31,0x1810,9,o,0x1782,133,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0x280,0x1800,0x6032,0x1810,16,o,0x1782,126,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0x284,0x6000,0x5c32,0x5ff4,12,l,0x60b7,183,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x28c,0x5800,0x5f31,0x580c,12,n,0x54aa,854,HUD\HUD-TEMPLATE.PSB
0x290,0x2800,0x6073,0x280d,13,n,0x2623,477,SPAIN_S1\ROAD1A-TGA.GXI
0x294,0xb800,0x85e,0xb7c8,56,l,0xb67f,385,\CAR.PSM
0x298,0xab1c,0x195c,0xab0e,14,l,0xaf03,999,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2ac,0x6d06,0x580d,0x6d00,6,l,0x6d35,47,FMV\GO2.PSS
0x2b4,0x5d74,0xb000,0x5d78,4,l,0x60b7,835,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x2bc,0x6061,0x5c00,0x6055,12,l,0x60b7,86,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x2c0,0x5fda,0xfc00,0x5fcf,11,l,0x60b7,221,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x2c4,0xac93,0x246,0xac8b,8,l,0xaf03,624,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2c8,0xff2c,0x5f,0xff17,21,l,0xfebe,110,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x2cc,0x5cd0,0x221,0x5c88,72,l,0x60b7,999,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x2d0,0x8e08,0x5f,0x8dff,9,l,0x8f62,346,\FMV\CHALL02.PSS
0x2d4,0x4c94,0x20d,0x4cb1,29,n,0x516a,1238,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x2d8,0xff64,0x5f,0xff80,28,l,0xfebe,166,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x2dc,0x5c64,0x1e,0x5c4e,22,n,0x60b7,1107,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x2e0,0x2c07,0x5f52,0x2c0b,4,n,0x2adf,296,CUPS\CUP_FUJSEM.PSM
0x2e4,0x8400,0x5fcc,0x83f4,12,l,0x8150,688,S\PS2\OPTIONS.XML
0x2e8,0xac00,0x5fab,0xac08,8,l,0xaf03,771,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2ec,0xf800,0x5f6c,0xf7f7,9,n,0xf311,1263,FMV\ELF3.PSS
0x2f0,0x1c00,0x5f9b,0x1bef,17,n,0x18b7,841,VEHICLES\MOONBUGGY\WHEEL.PSM
0x2f4,0xac00,0x6040,0xac08,8,l,0xaf03,771,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2f8,0xf800,0x145e,0xf7f7,9,n,0xf311,1263,FMV\ELF3.PSS
0x2fc,0x9448,0xf7f,0x942d,27,l,0x8f8e,1210,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x314,0xac01,0x4c9b,0xac08,7,l,0xaf03,770,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x31c,0x6400,0x5da3,0x63e1,31,o,0x60b7,841,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x324,0xf800,0x64c,0xf7f7,9,n,0xf311,1263,FMV\ELF3.PSS
0x328,0x4003,0x6041,0x3ff9,10,n,0x4279,630,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x32c,0x7c00,0xbc21,0x7bfa,6,l,0x786c,916,FMV\MICROIDS.PSS
0x340,0x5dec,0x5c00,0x5ddb,17,n,0x60b7,715,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x344,0x5cdb,0x8400,0x5c88,83,l,0x60b7,988,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x348,0x5fdb,0x8c00,0x5fcf,12,l,0x60b7,220,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x34c,0x6041,0x5800,0x603b,6,n,0x60b7,118,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x350,0x6095,0xcc00,0x6081,20,n,0x60b7,34,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x358,0x245c,0x4202,0x2465,9,n,0x2623,455,SPAIN_S1\ROAD1A-TGA.GXI
0x360,0x42ac,0x740a,0x42ab,1,o,0x4279,51,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x364,0x5fbc,0xe000,0x5fcf,19,l,0x60b7,251,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x368,0x5dd9,0xc400,0x5ddb,2,n,0x60b7,734,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
