table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x464,0x468,1,0x284e,0x284e,0xad64,SPAIN_S1\ROAD1A-TGA.GXI
0x46c,0x470,1,0x1c07,0x1c07,0x6042,VEHICLES\MOONBUGGY\WHEEL.PSM
0x470,0x474,1,0xc000,0xc000,0x5eca,SCREENS\PS2\RACERESULTS.XML
0x474,0x478,1,0x3000,0x3000,0x5c52,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x47c,0x480,1,0x3c00,0x3c00,0x6074,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x480,0x484,1,0xb400,0xb400,0x55d,HUD\PACENOTES.PSB
0x484,0x488,1,0x5c4c,0x5c4c,0xa18,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x488,0x48c,1,0x36d8,0x36d8,0x5d,S\PS2\RACEDETAILS2.XML
0x48c,0x490,1,0xbbc8,0xbbc8,0x5c,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0x490,0x494,1,0x8ffc,0x8ffc,0x5f,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x494,0x498,1,0x7c80,0x7c80,0x4c02,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x4dc,0x4e0,1,0x3d5c,0x3d5c,0x200,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x4e0,0x50c,9,0x5db9,0x6074,0x2400;0x5000;0x6c00;0x7800;0x7c00;0x8400;0x8800;0xbc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x510,0x514,1,0x5cea,0x5cea,0xbc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x514,0x520,3,0x5fde,0x6075,0x0;0x1000;0x8800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x528,0x52c,1,0x9cc4,0x9cc4,0x5f,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x52c,0x530,1,0x43b0,0x43b0,0x5e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x534,0x538,1,0x84f8,0x84f8,0x60,S\PS2\OPTIONS.XML
0x538,0x53c,1,0xa3c0,0xa3c0,0x5e,VEHICLES\JUMP\WHEEL.PSM
0x53c,0x540,1,0x534c,0x534c,0x385d,FMV\FUJ3.PSS
0x540,0x544,1,0xad9d,0xad9d,0x943d,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x548,0x54c,1,0x6b5c,0x6b5c,0x300,FMV\GO2.PSS
0x54c,0x560,5,0x5e13,0x6075,0x2800;0x5400;0x5800;0xc00;0xf400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x560,0x564,1,0x4c11,0x4c11,0x5c25,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x570,0x574,1,0x9c04,0x9c04,0xf5e,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x574,0x578,1,0x44ec,0x44ec,0xb5c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x578,0x57c,1,0x900d,0x900d,0x5f,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x57c,0x580,1,0x4410,0x4410,0x60,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x580,0x588,2,0x232c,0x2480,0x5f;0x60,SPAIN_S1\ROAD1A-TGA.GXI
0x588,0x58c,1,0x4ce4,0x4ce4,0xa0a,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x58c,0x590,1,0x2370,0x2370,0x60,SPAIN_S1\ROAD1A-TGA.GXI
0x594,0x598,1,0x6fc0,0x6fc0,0x5f,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0x598,0x59c,1,0x4c94,0x4c94,0x307,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x59c,0x5a0,1,0x90cc,0x90cc,0x5f,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x5a0,0x5a4,1,0x4444,0x4444,0xf4c,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5a8,0x5b8,3,0x5c85,0x6045,0x4800;0xd04;0xdc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x5b8,0x5c8,4,0x5ceb,0x5f91,0x9800;0x9c00;0xbc00;0xc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x5cc,0x5d0,1,0x5406,0x5406,0x5f54,FMV\FUJ3.PSS
0x5d0,0x5d4,1,0x9400,0x9400,0x6085,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x5d4,0x5d8,1,0x9800,0x9800,0x185d,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x5d8,0x5dc,1,0x4d78,0x4d78,0xc406,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x5e0,0x5e4,1,0x8084,0x8084,0x5f,FMV\CHALL09.PSS|
0x5e4,0x5e8,1,0x77cc,0x77cc,0x5d,FMV\MICROIDS.PSS
0x5e8,0x5ec,1,0x464c,0x464c,0x60,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5ec,0x5f0,1,0xe9d4,0xe9d4,0x5e,HUD\HUD-NUMS.PSB
0x5f0,0x5f4,1,0x45a0,0x45a0,0x5f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x5f4,0x5f8,1,0x4cc0,0x4cc0,0xd,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x5f8,0x5fc,1,0xcc04,0xcc04,0x6035,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x5fc,0x604,2,0x2800,0x2800,0x5ef9;0x6063,SPAIN_S1\ROAD1A-TGA.GXI
0x604,0x608,1,0x7400,0x7400,0x6012,VEHICLES\BRUNO\CAR.PSM
0x608,0x60c,1,0x2400,0x2400,0x5dcb,SPAIN_S1\ROAD1A-TGA.GXI
0x60c,0x610,1,0x3800,0x3800,0x4c62,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x614,0x618,1,0x8c00,0x8c00,0x54c,\FMV\CHALL02.PSS
0x634,0x638,1,0xe400,0xe400,0x104d,HUD\HUD-NUMS.PSB
0x638,0x63c,1,0x4d84,0x4d84,0x7805,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x640,0x64c,3,0x5e93,0x6012,0x7000;0xb000;0xe800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x650,0x654,1,0x63c8,0x63c8,0x60,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x654,0x658,1,0x8620,0x8620,0x60,S\PS2\OPTIONS.XML
0x658,0x65c,1,0xc014,0xc014,0x5f,SCREENS\PS2\RACERESULTS.XML
0x65c,0x660,1,0x9228,0x9228,0x5f,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x660,0x664,1,0x5434,0x5434,0x60,FMV\FUJ3.PSS
0x664,0x668,1,0xcf40,0xcf40,0x5f,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x66c,0x670,1,0x6410,0x6410,0x60,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x670,0x674,1,0x5484,0x5484,0x60,HUD\HUD-TEMPLATE.PSB
0x674,0x678,1,0x85ec,0x85ec,0x5e,S\PS2\OPTIONS.XML
0x678,0x67c,1,0xa838,0xa838,0x5d,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x67c,0x680,1,0x5cf8,0x5cf8,0xa10,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x680,0x684,1,0x243c,0x243c,0x60,SPAIN_S1\ROAD1A-TGA.GXI
0x684,0x688,1,0x46dc,0x46dc,0x60,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x688,0x68c,1,0x35c8,0x35c8,0x5e,S\PS2\RACEDETAILS2.XML
0x68c,0x690,1,0x5ce8,0x5ce8,0x216,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x690,0x694,1,0x8100,0x8100,0x5f,S\PS2\OPTIONS.XML
0x694,0x698,1,0x4d48,0x4d48,0xe000,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x6a4,0x6a8,1,0xcc06,0xcc06,0x85d,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x6a8,0x6ac,1,0x5c98,0x5c98,0x600,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x6ac,0x6b0,1,0x54dc,0x54dc,0x5f,HUD\HUD-TEMPLATE.PSB
0x6b0,0x6b4,1,0xf29c,0xf29c,0x5f,FMV\ELF3.PSS
0x6b4,0x6b8,1,0x4ca8,0x4ca8,0x70c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x6b8,0x6bc,1,0x211c,0x211c,0x5e,SPAIN_S1\ROAD1A-TGA.GXI
0x6bc,0x6c0,1,0x551c,0x551c,0x60,HUD\HUD-TEMPLATE.PSB
0x6c0,0x6c4,1,0x36b0,0x36b0,0x6c4c,S\PS2\RACEDETAILS2.XML
0x6c4,0x6c8,1,0x9c09,0x9c09,0x5c,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x6c8,0x6cc,1,0xe0c0,0xe0c0,0x5f,S\PS2\PROGRESS.XML
0x6d0,0x6d4,1,0x4c78,0x4c78,0x20a,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x6d8,0x6dc,1,0x7cc0,0x7cc0,0x100,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x6dc,0x6e0,1,0x5f25,0x5f25,0xc800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x704,0x708,1,0x1c4c,0x1c4c,0x5e,VEHICLES\MOONBUGGY\WHEEL.PSM
0x708,0x70c,1,0x9fbc,0x9fbc,0xb24c,VEHICLES\JUMP\WHEEL.PSM
0x710,0x714,1,0xd40b,0xd40b,0x4dcf,FMV\INV1.PSS
0x714,0x718,1,0xa02c,0xa02c,0x6d4c,VEHICLES\JUMP\WHEEL.PSM
0x71c,0x720,1,0xb800,0xb800,0x35c,\CAR.PSM
0x720,0x724,1,0x5c02,0x5c02,0x5eb2,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x724,0x728,1,0x7c00,0x7c00,0x54d,FMV\MICROIDS.PSS
0x728,0x72c,1,0x5c5c,0x5c5c,0x20e,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x72c,0x730,1,0x7658,0x7658,0x60,FMV\MICROIDS.PSS
0x730,0x734,1,0x5c50,0x5c50,0x208,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x734,0x738,1,0xafd0,0xafd0,0x5f,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x738,0x73c,1,0x4dfc,0x4dfc,0xe010,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x740,0x74c,3,0x5e47,0x6065,0x3000;0xc00;0xfc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x74c,0x750,1,0x5c14,0x5c14,0x36,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x750,0x754,1,0x8102,0x8102,0x5f,S\PS2\OPTIONS.XML
0x754,0x758,1,0x4764,0x4764,0x60,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x758,0x75c,1,0x2548,0x2548,0x60,SPAIN_S1\ROAD1A-TGA.GXI
0x75c,0x760,1,0x72b0,0x72b0,0x5f,VEHICLES\BRUNO\CAR.PSM
0x760,0x764,1,0x46c4,0x46c4,0x5f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x764,0x768,1,0x4e90,0x4e90,0x9410,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x768,0x76c,1,0x5c98,0x5c98,0x4c1e,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x774,0x778,1,0x785e,0x785e,0xf37,FMV\MICROIDS.PSS
0x778,0x77c,1,0xac00,0xac00,0x6047,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x77c,0x780,1,0x4400,0x4400,0x5f37,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x780,0x784,1,0xfc00,0xfc00,0x5f72,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x784,0x788,1,0x2000,0x2000,0x6087,SPAIN_S1\ROAD1A-TGA.GXI
0x788,0x78c,1,0xd800,0xd800,0x44c,FMV\INV1.PSS
0x78c,0x790,1,0x740f,0x740f,0x5f73,VEHICLES\BRUNO\CAR.PSM
0x790,0x794,1,0x1c00,0x1c00,0x6004,VEHICLES\MOONBUGGY\WHEEL.PSM
0x794,0x798,1,0x4800,0x4800,0x5ecc,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x798,0x79c,1,0x9c00,0x9c00,0x5cbf,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x79c,0x7a0,1,0x5400,0x5400,0x4c47,FMV\FUJ3.PSS
0x7a4,0x7a8,1,0x6c00,0x6c00,0x24c,FMV\GO2.PSS
0x7a8,0x7ac,1,0x6802,0x6802,0x6087,FMV\GO2.PSS
0x7ac,0x7b0,1,0x9c00,0x9c00,0x107c,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x7b0,0x7b4,1,0x5601,0x5601,0x5e,HUD\HUD-TEMPLATE.PSB
0x7b4,0x7c8,4,0x5cc1,0x6099,0x115;0x6c14;0xb400;0xf400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x7cc,0x7d0,1,0x5cc0,0x5cc0,0x5c00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x7d0,0x7d4,1,0x6099,0x6099,0xa000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
