table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0xa38,0xa40,2,0x4d31,0x5000,0x4cdc;0xf003,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xa40,0xa44,1,0x415e,0x415e,0xed94,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xa44,0xa48,1,0x1b5c,0x1b5c,0x850d,VEHICLES\MOONBUGGY\WHEEL.PSM
0xa5c,0xa6c,4,0x5f4a,0x609c,0x1000;0x2800;0x3800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xa6c,0xa8c,6,0x5caf,0x6006,0x1400;0x1800;0x4400;0x5000;0xac00;0xe000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xa90,0xa94,1,0xe004,0xe004,0x4c,S\PS2\PROGRESS.XML
0xa94,0xa98,1,0xb402,0xb402,0x5cd2,HUD\PACENOTES.PSB
0xa98,0xa9c,1,0xf800,0xf800,0x175c,FMV\ELF3.PSS
0xa9c,0xaa0,1,0x4860,0x4860,0xb807,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xaa0,0xaa8,2,0x5d4b,0x5e67,0x6c00;0xc000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xaa8,0xaac,1,0x4c76,0x4c76,0x12d,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xaac,0xae4,11,0x5c0c,0x608b,0x2400;0x34;0x3800;0x5000;0x5800;0x6000;0x8000;0x9c00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xae4,0xae8,1,0x9922,0x9922,0x5e,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0xae8,0xaec,1,0x3a38,0x3a38,0x60,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xaec,0xaf0,1,0x5b70,0x5b70,0x5d,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xaf0,0xaf4,1,0x1b2c,0x1b2c,0x5f,VEHICLES\MOONBUGGY\WHEEL.PSM
0xaf4,0xaf8,1,0x9c7c,0x9c7c,0x60,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0xaf8,0xafc,1,0x295c,0x295c,0x60,CUPS\CUP_FUJSEM.PSM
0xb00,0xb04,1,0x7034,0x7034,0x5d,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0xb04,0xb08,1,0x1c94,0x1c94,0x5d,VEHICLES\MOONBUGGY\WHEEL.PSM
0xb08,0xb0c,1,0x8734,0x8734,0x5f,S\PS2\OPTIONS.XML
0xb0c,0xb10,1,0x6850,0x6850,0x5e,FMV\GO2.PSS
0xb10,0xb14,1,0xc458,0xc458,0x5f,TANK\CAR.PSM
0xb14,0xb18,1,0xb378,0xb378,0x5f,HUD\PACENOTES.PSB
0xb18,0xb1c,1,0x5ca8,0x5ca8,0x21d,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xb1c,0xb20,1,0x3a74,0x3a74,0x60,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xb20,0xb24,1,0x5cec,0x5cec,0x31d,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xb24,0xb28,1,0x5938,0x5938,0x60,HUD\HUD-TEMPLATE.PSB
0xb28,0xb2c,1,0xd300,0xd300,0x25c,FMV\INV1.PSS
0xb2c,0xb30,1,0x1b01,0x1b01,0x5f,VEHICLES\MOONBUGGY\WHEEL.PSM
0xb30,0xb34,1,0x4db8,0x4db8,0x8000,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xb40,0xb44,1,0xc412,0xc412,0x255c,TANK\CAR.PSM
0xb5c,0xb60,1,0x685e,0x685e,0x718,FMV\GO2.PSS
0xb60,0xb64,1,0x8800,0x8800,0x6059,S\PS2\OPTIONS.XML
0xb68,0xb6c,1,0xe000,0xe000,0x145d,S\PS2\PROGRESS.XML
0xb6c,0xb70,1,0x4c4c,0x4c4c,0x62c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xb70,0xb74,1,0xa430,0xa430,0x5f,VEHICLES\JUMP\WHEEL.PSM
0xb74,0xb78,1,0xf60c,0xf60c,0x5d,FMV\ELF3.PSS
0xb78,0xb80,2,0x5cb6,0x5ed8,0x480a;0xdb,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xb80,0xb84,1,0x6902,0x6902,0x60,FMV\GO2.PSS
0xb84,0xb88,1,0x5a24,0x5a24,0x60,HUD\HUD-TEMPLATE.PSB
0xb88,0xb8c,1,0x17e8,0x17e8,0x60,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0xb8c,0xb90,1,0x6968,0x6968,0x60,FMV\GO2.PSS
0xb90,0xb94,1,0x8c08,0x8c08,0x60,\FMV\CHALL02.PSS
0xb94,0xb98,1,0x4dc4,0x4dc4,0xac13,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xb9c,0xba0,1,0x5fb4,0x5fb4,0xec00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xba4,0xba8,1,0x6f4c,0x6f4c,0x1801,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0xbb0,0xbc8,6,0x5e69,0x607b,0x5400;0xac00;0xe000;0xf800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xbc8,0xbcc,1,0x1e5c,0x1e5c,0x4806,VEHICLES\MOONBUGGY\WHEEL.PSM
0xbcc,0xbd4,2,0x5e59,0x5f1c,0x9000;0xd400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xbd8,0xbdc,1,0xd95c,0xd95c,0x4b05,FMV\INV1.PSS
0xbe4,0xbe8,1,0x300b,0x300b,0x4db5,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0xbe8,0xbec,1,0xf7a9,0xf7a9,0x325c,FMV\ELF3.PSS
0xbf0,0xc04,4,0x5ede,0x602a,0x2400;0x9c00;0xd400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xc18,0xc1c,1,0x9806,0x9806,0x4c0d,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0xc20,0xc24,1,0x7c00,0x7c00,0x94d,FMV\MICROIDS.PSS
0xc24,0xc28,1,0x4db4,0x4db4,0x8c27,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xc58,0xc84,11,0x5d5d,0x608c,0x3c00;0x5400;0x7400;0x8000;0x8800;0x9000;0xe800;0xf000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xc84,0xc88,1,0x4c7c,0x4c7c,0x525,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xc88,0xc90,2,0x5f96,0x5fa5,0xb400;0xf400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xc90,0xc94,1,0x1d5e,0x1d5e,0xf854,VEHICLES\MOONBUGGY\WHEEL.PSM
0xc94,0xc98,1,0x786c,0x786c,0x100,FMV\MICROIDS.PSS
0xcac,0xcb0,1,0xec18,0xec18,0x4c2a,FMV\ELF3.PSS
0xcc8,0xccc,1,0xff4c,0xff4c,0x174d,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0xccc,0xcd0,1,0x4d88,0x4d88,0xd007,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xcd4,0xce4,3,0x5eff,0x608d,0x5800;0xd000;0xd800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xd0c,0xd10,1,0xcc08,0xcc08,0x15c,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0xd10,0xd14,1,0xa007,0xa007,0x609d,VEHICLES\JUMP\WHEEL.PSM
0xd14,0xd18,1,0x2400,0x2400,0x5f0e,SPAIN_S1\ROAD1A-TGA.GXI
0xd18,0xd1c,1,0xc000,0xc000,0x4c4b,SCREENS\PS2\RACERESULTS.XML
0xd20,0xd24,1,0x4000,0x4000,0x5f78,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xd24,0xd28,1,0xf800,0xf800,0x5df7,FMV\ELF3.PSS
0xd28,0xd2c,1,0x4c00,0x4c00,0x5fe8,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xd2c,0xd30,1,0x8800,0x8800,0x95e,S\PS2\OPTIONS.XML
0xd30,0xd34,1,0xd198,0xd198,0xee4c,FMV\INV1.PSS
0xd34,0xd38,1,0x8e0b,0x8e0b,0x5e,\FMV\CHALL02.PSS
0xd38,0xd3c,1,0xb758,0xb758,0x5f,\CAR.PSM
0xd3c,0xd40,1,0xf868,0xf868,0x5d,FMV\ELF3.PSS
0xd40,0xd44,1,0x3cac,0x3cac,0x9c5f,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xd50,0xd54,1,0x5414,0x5414,0x5c,FMV\FUJ3.PSS
0xd54,0xd58,1,0x2406,0x2406,0x605c,SPAIN_S1\ROAD1A-TGA.GXI
0xd58,0xd5c,1,0xe000,0xe000,0x602c,S\PS2\PROGRESS.XML
0xd5c,0xd60,1,0xa800,0xa800,0x45e,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0xd60,0xd64,1,0xf940,0xf940,0x4ac,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0xd68,0xd6c,1,0x4c00,0x4c00,0x5e6c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xd6c,0xd70,1,0x6000,0x6000,0x5f2c,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xd70,0xd74,1,0x9c00,0x9c00,0x95e,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0xd74,0xd78,1,0x3b48,0x3b48,0x115c,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xd7c,0xd9c,6,0x5ed2,0x608e,0x2000;0x2800;0x400;0x8c00;0xa400;0xd800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xda0,0xda4,1,0x7407,0x7407,0x74d,VEHICLES\BRUNO\CAR.PSM
0xda4,0xda8,1,0x4d48,0x4d48,0x4817,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xdac,0xdbc,3,0x5e7c,0x606b,0xd000;0xec00;0xf000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xdc0,0xdc4,1,0x3815,0x3815,0x4c6c,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xdc4,0xdc8,1,0x4c4b,0x4c4b,0x220,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xdc8,0xdcc,1,0x9e30,0x9e30,0x60,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0xdcc,0xdd0,1,0x4c68,0x4c68,0xb00,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xdd0,0xdd4,1,0x3cf8,0x3cf8,0x5f,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xdd8,0xddc,1,0x6cb8,0x6cb8,0x60,FMV\GO2.PSS
0xddc,0xde0,1,0xc76c,0xc76c,0x4b5c,TANK\CAR.PSM
0xde4,0xe04,7,0x5e1a,0x601a,0x1c00;0x2000;0x3000;0x800;0xa800;0xc000;0xec00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xe04,0xe08,1,0x4c6d,0x4c6d,0x127,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xe08,0xe14,2,0x5f97,0x606d,0x5400;0xa000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xe24,0xe28,1,0x19bc,0x19bc,0xf006,VEHICLES\MOONBUGGY\WHEEL.PSM
0xe28,0xe40,4,0x5f4e,0x604c,0x6800;0x9800;0xfc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xe44,0xe48,1,0xc008,0xc008,0x4c3c,SCREENS\PS2\RACERESULTS.XML
0xe48,0xe50,2,0x4d8f,0x4e9a,0x2c15;0x6e2a,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xe54,0xe68,5,0x5de8,0x608f,0x7800;0x7c00;0x9400;0xc800;0xd000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xe6c,0xe70,1,0x8c5d,0x8c5d,0x28,\FMV\CHALL02.PSS
0xe70,0xe74,1,0xb807,0xb807,0x5f89,\CAR.PSM
0xe78,0xe7c,1,0x2000,0x2000,0x607e,SPAIN_S1\ROAD1A-TGA.GXI
0xe7c,0xe80,1,0xa400,0xa400,0x5ffa,VEHICLES\JUMP\WHEEL.PSM
0xe80,0xe84,1,0x5800,0x5800,0x5fea,HUD\HUD-TEMPLATE.PSB
0xe84,0xe88,1,0x5400,0x5400,0x603d,FMV\FUJ3.PSS
0xe88,0xe8c,1,0x5800,0x5800,0x24e,HUD\HUD-TEMPLATE.PSB
0xe94,0xe98,1,0x5cfc,0x5cfc,0xa000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xea4,0xea8,1,0xf423,0xf423,0xb4c,FMV\ELF3.PSS
0xea8,0xeac,1,0x480a,0x480a,0x609f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xeac,0xeb0,1,0x3400,0x3400,0x601b,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0xeb0,0xeb4,1,0x4400,0x4400,0x5fd7,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xeb4,0xeb8,1,0xbc00,0xbc00,0x1d5c,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0xeb8,0xebc,1,0x3806,0x3806,0x606f,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0xebc,0xec0,1,0x7400,0x7400,0x604d,VEHICLES\BRUNO\CAR.PSM
0xec0,0xec4,1,0xc800,0xc800,0x2a5c,TANK\CAR.PSM
0xec8,0xecc,1,0x5800,0x5800,0x5ee3,HUD\HUD-TEMPLATE.PSB
0xecc,0xed0,1,0xe800,0xe800,0x94c,HUD\HUD-NUMS.PSB
0xed0,0xed4,1,0x8803,0x8803,0x5fc9,S\PS2\OPTIONS.XML
0xed4,0xed8,1,0xac00,0xac00,0x5c5c,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0xedc,0xee0,1,0x6400,0x6400,0x6c,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xee0,0xee4,1,0x7e01,0x7e01,0x60,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0xee4,0xee8,1,0x4d88,0x4d88,0xcc07,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xef4,0xef8,1,0x8a4c,0x8a4c,0x900e,\FMV\CHALL02.PSS
0xf08,0xf0c,1,0xb14c,0xb14c,0x1c01,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0xf20,0xf24,1,0xc408,0xc408,0xa4e,TANK\CAR.PSM
0xf24,0xf28,1,0x7f34,0x7f34,0xa75c,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0xf28,0xf2c,1,0xd802,0xd802,0x5f,FMV\INV1.PSS
0xf2c,0xf30,1,0xeb30,0xeb30,0x75d,HUD\HUD-NUMS.PSB
0xf30,0xf34,1,0xbc8b,0xbc8b,0xa23,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0xf34,0xf38,1,0xa010,0xa010,0x60,VEHICLES\JUMP\WHEEL.PSM
0xf38,0xf3c,1,0xc7e4,0xc7e4,0x5e,TANK\CAR.PSM
0xf3c,0xf40,1,0x1cfc,0x1cfc,0x60,VEHICLES\MOONBUGGY\WHEEL.PSM
0xf40,0xf44,1,0x4c9c,0x4c9c,0xa01,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xf44,0xf48,1,0xaaa4,0xaaa4,0x5e,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0xf48,0xf4c,1,0x3e74,0x3e74,0x5f,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xf4c,0xf50,1,0xba30,0xba30,0x5f,\CAR.PSM
0xf50,0xf54,1,0x5cd8,0x5cd8,0xa01,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xf54,0xf58,1,0x2e9c,0x2e9c,0x60,CUPS\CUP_FUJSEM.PSM
0xf58,0xf5c,1,0xa11c,0xa11c,0x60,VEHICLES\JUMP\WHEEL.PSM
0xf60,0xf64,1,0x4cd8,0x4cd8,0x200,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xf64,0xf68,1,0xbb00,0xbb00,0x5e,\TNG\DATAPSM\COURSE\ITALY_M1_FLIP\WATER-TGA.GXI
0xf68,0xf88,7,0x5c69,0x607f,0x1000;0x15d;0x4c00;0xc000;0xe807;0xec00;0xf000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xf88,0xf8c,1,0x214e,0x214e,0xb28,SPAIN_S1\ROAD1A-TGA.GXI
0xf8c,0xf90,1,0x874c,0x874c,0xa101,S\PS2\OPTIONS.XML
0xf94,0xf98,1,0x5401,0x5401,0x35d,FMV\FUJ3.PSS
0xf98,0xf9c,1,0x5df8,0x5df8,0xe804,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xfa0,0xfa4,1,0xb002,0xb002,0x25c,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0xfa4,0xfa8,1,0x2970,0x2970,0xc00,CUPS\CUP_FUJSEM.PSM
0xfa8,0xfac,1,0x2f64,0x2f64,0x60,CUPS\CUP_FUJSEM.PSM
0xfac,0xfb0,1,0x7060,0x7060,0x60,APSM\COURSE\ITALY_S3\VHUTDOOR-TGA.GXI
0xfb0,0xfb4,1,0x5dcc,0x5dcc,0x60,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xfb4,0xfb8,1,0x4dbc,0x4dbc,0x60,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xfb8,0xfbc,1,0x2fac,0x2fac,0x60,CUPS\CUP_FUJSEM.PSM
0xfc0,0xfc4,1,0x913c,0x913c,0x60,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0xfc4,0xfd0,2,0x785e,0x78f4,0x2dbc;0x8c00,FMV\MICROIDS.PSS
0xfd4,0xfd8,1,0x4e54,0x4e54,0x5c47,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xfd8,0xfdc,1,0x4144,0x4144,0x4154,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0xfdc,0xfe0,1,0x5350,0x5350,0x5c4d,FMV\FUJ3.PSS
0xfe0,0xfe4,1,0x4f46,0x4f46,0x544e,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xfe4,0xfe8,1,0x5c53,0x5c53,0x524d,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0xfe8,0xfec,1,0x4c41,0x4c41,0x594c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0xff0,0xff4,1,0xda14,0xda14,0x383d,S\PS2\PROGRESS.XML
0xff8,0xffc,1,0x2200,0x2200,0x30fc,SPAIN_S1\ROAD1A-TGA.GXI
0x1008,0x1010,2,0x4e4f,0x4f43,0x4554;0x4d4d,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1010,0x1024,5,0x5252,0x5458,0x4147;0x4554;0x4c41;0x4d5c;0x5255,FMV\FUJ3.PSS | APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1024,0x1028,1,0x472e,0x472e,0x4958,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1028,0x102c,1,0x6900,0x6900,0x8d69,FMV\GO2.PSS
0x102c,0x1030,1,0x22f4,0x22f4,0x845,SPAIN_S1\ROAD1A-TGA.GXI
0x1034,0x1038,1,0xf400,0xf400,0xbd0a,FMV\ELF3.PSS
0x1040,0x1048,2,0x5053,0x5352,0x4941;0x5c45,FMV\FUJ3.PSS | APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1048,0x104c,1,0x5f4e,0x5f4e,0x5f57,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x104c,0x105c,4,0x4720,0x4c46,0x4152;0x4154;0x4e41;0x5049,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI | \TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x105c,0x1060,1,0x5353,0x5353,0x5753,FMV\FUJ3.PSS
0x1060,0x1064,1,0x4829,0x4829,0x601,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1064,0x1070,2,0x6e00,0x6e69,0x234;0x5800,FMV\GO2.PSS
0x1070,0x1074,1,0xac71,0xac71,0x2b1b,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x1078,0x107c,1,0x4543,0x4543,0x454e,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x107c,0x1084,2,0x525c,0x5445,0x4341;0x5345,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI | FMV\FUJ3.PSS
0x1084,0x1088,1,0x8854,0x8854,0xd09,S\PS2\OPTIONS.XML
0x1088,0x108c,1,0x5359,0x5359,0x2e31,FMV\FUJ3.PSS
0x108c,0x1090,1,0x4d58,0x4d58,0x4c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1090,0x1094,1,0xf81e,0xf81e,0x3de8,FMV\ELF3.PSS
0x1094,0x1098,1,0x29da,0x29da,0x0,CUPS\CUP_FUJSEM.PSM
0x109c,0x10a0,1,0x21ac,0x21ac,0xec2b,SPAIN_S1\ROAD1A-TGA.GXI
0x10a0,0x10a4,1,0x6c00,0x6c00,0x2d21,FMV\GO2.PSS
0x10a8,0x10ac,1,0x5441,0x5441,0x5741,FMV\FUJ3.PSS
0x10ac,0x10b0,1,0x4548,0x4548,0x4c45,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x10b0,0x10b4,1,0x4f43,0x4f43,0x4556,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x10b4,0x10b8,1,0x2852,0x2852,0x224,SPAIN_S1\ROAD1A-TGA.GXI
0x10b8,0x10bc,1,0x7905,0x7905,0x2ef,FMV\MICROIDS.PSS
0x10bc,0x10c0,1,0x9c3f,0x9c3f,0x1f,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x10c0,0x10c4,1,0x6e00,0x6e00,0x2400,FMV\GO2.PSS
0x10c4,0x10c8,1,0x31de,0x31de,0x21c,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x10cc,0x10d4,2,0x434e,0x460c,0x4152;0x5f45,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x10d4,0x10d8,1,0x3153,0x3153,0x4e5c,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x10d8,0x10dc,1,0x494f,0x494f,0x4553,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x10e0,0x10e4,1,0x97ab,0x97ab,0x473f,\DATAPSM\COURSE\ITALY_W1\TFRONT-TGA.GXI
0x10e4,0x10e8,1,0x3fba,0x3fba,0x0,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x10ec,0x10f0,1,0x3125,0x3125,0x23c,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x10f4,0x10f8,1,0x5255,0x5255,0x454b,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x10f8,0x10fc,1,0x5f59,0x5f59,0x3253,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x10fc,0x1100,1,0x24a6,0x24a6,0x4546,SPAIN_S1\ROAD1A-TGA.GXI
0x1104,0x1108,1,0x2854,0x2854,0x130,SPAIN_S1\ROAD1A-TGA.GXI
0x1108,0x110c,1,0x6908,0x6908,0x6969,FMV\GO2.PSS
0x110c,0x1110,1,0xb2c7,0xb2c7,0x3de4,HUD\PACENOTES.PSB
0x1110,0x1114,1,0x2815,0x2815,0x0,SPAIN_S1\ROAD1A-TGA.GXI
0x1118,0x111c,1,0x4c37,0x4c37,0x2b02,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1120,0x1124,1,0x4449,0x4449,0x4e45,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1124,0x1128,1,0x5641,0x5641,0x2731,HUD\HUD-TEMPLATE.PSB
0x112c,0x1130,1,0x6969,0x6969,0xf4a4,FMV\GO2.PSS
0x1130,0x1134,1,0x35ac,0x35ac,0x3e7c,S\PS2\RACEDETAILS2.XML
0x113c,0x1140,1,0xb563,0xb563,0x47d5,\CAR.PSM
0x1148,0x114c,1,0xcc2f,0xcc2f,0xbc02,"""\DATAPSM\COMMONTEXTURES\SIDERED2-TGA.GXI"
0x114c,0x1150,1,0x7649,0x7649,0x3100,FMV\MICROIDS.PSS
0x1150,0x1154,1,0x9030,0x9030,0x4b,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x1154,0x1158,1,0x5f04,0x5f04,0x4d53,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1158,0x115c,1,0x4c41,0x4c41,0x2e4c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x115c,0x1160,1,0x5350,0x5350,0x42,FMV\FUJ3.PSS
0x1160,0x1164,1,0x6969,0x6969,0x9569,FMV\GO2.PSS
0x1164,0x1168,1,0xe9be,0xe9be,0x1540,HUD\HUD-NUMS.PSB
0x116c,0x1170,1,0xac00,0xac00,0x3709,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x1174,0x1178,1,0x4168,0x4168,0x5901,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x1178,0x117c,1,0x4d5f,0x4d5f,0xb831,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1180,0x1184,1,0x5f41,0x5f41,0x4944,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1184,0x1188,1,0x5452,0x5452,0x4c42,FMV\FUJ3.PSS
0x1188,0x118c,1,0x4e45,0x4e45,0x3144,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x118c,0x1190,1,0x3829,0x3829,0x606,VEHICLES\SEATBUGGY\COMPLETE.PSMH
0x1190,0x1194,1,0x4f69,0x4f69,0xeca8,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x1194,0x1198,1,0xef47,0xef47,0x11,FMV\ELF3.PSS
0x1198,0x119c,1,0x6e00,0x6e00,0x7c00,FMV\GO2.PSS
0x119c,0x11a0,1,0x356e,0x356e,0x14e,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
