sig7,hits,unique_branches,repeat_branches,repeat_hits,singleton_branches,repeat_ratio,top_branch,top_count
0000010c43fc8e,9,3,2,8,1,0.8889,0000010c43fc8e29 | cb62 | 0000010d43fcd600,6
0000010c43fc9c,9,4,2,7,2,0.7778,0000010c43fc9ce9 | 7321 | 0000010d43f0c2e4,4
0000010c43fc73,9,5,2,6,3,0.6667,0000010c43fc7322 | 4805 | 0000010d43fc93b2,4
0000010c43fc52,9,6,2,5,4,0.5556,0000010c43fc52c1 | 91a3 | 0000010d43fc4b59,3
0000010c43fc90,8,4,3,7,1,0.875,0000010c43fc9095 | a5b4 | 0000010d425b3ecb,3
0000010c43fcb5,8,3,2,7,1,0.875,0000010c43fcb5b9 | 778e | 0000010d43f062e4,4
0000010c43fc42,8,4,2,6,2,0.75,0000010c43fc4273 | 2b34 | 0000010d43fc40d6,3
0000010c43fc91,8,4,2,6,2,0.75,0000010c43fc91d7 | d50e,3
0000010c43fca5,7,1,1,7,0,1.0,0000010c43fca5ef | d5c9 | 0000010d43f022e4,7
0000010c43fca9,7,2,2,7,0,1.0,0000010c43fca9ed | c476 | 0000010d43f83003,4
0000010c43fcc8,7,2,2,7,0,1.0,0000010c43fcc800 | f851 | 0000010d43fcb5b2,4
0000010c43fc3e,7,3,2,6,1,0.8571,0000010c43fc3ed1 | ae7c | 0000010d43fc67d4,3
0000010c43fc63,7,3,2,6,1,0.8571,0000010c43fc63ef | 1a8e | 0000010d43fcfe99,3
0000010c43fc6e,7,3,2,6,1,0.8571,0000010c43fc6e27 | a7e9 | 0000010d43f898ac,3
0000010c43fc70,7,3,2,6,1,0.8571,0000010c43fc70fc | a8ad | 0000010d43fc48f8,3
0000010c43fcf1,7,2,1,6,1,0.8571,0000010c43fcf1d7 | 7f9b,6
0000010c43fcf5,7,3,2,6,1,0.8571,0000010c43fcf5df | 5aec | 0000010d43f00238,3
0000010c43fc47,7,4,2,5,2,0.7143,0000010c43fc4792 | 6be4 | 0000010d43fc3ec5,3
0000010c43fc7c,7,4,2,5,2,0.7143,0000010c43fc7ce2 | a43f | 0000010d43fc7743,3
0000010c43fca0,7,4,2,5,2,0.7143,0000010c43fca0e7 | 4d74 | 0000010d43fc5321,3
0000010c43fc5a,6,2,2,6,0,1.0,0000010c43fc5a8b | 55ae | 0000010d43fc962e,3
0000010c43fcc2,6,2,2,6,0,1.0,0000010c43fcc2ab | 53f7,3
0000010c43fcc5,6,2,2,6,0,1.0,0000010c43fcc5e8 | 51d3,4
0000010c43fce7,6,2,2,6,0,1.0,0000010c43fce732 | e176 | 0000010d43f8b898,3
0000010c43fce8,6,2,2,6,0,1.0,0000010c43fce8fb | b96d | 0000010d43fcf664,3
0000010c43fce9,6,2,2,6,0,1.0,0000010c43fce9ce | 3df5 | 0000010d43fcfd93,3
0000010c43fcee,6,2,2,6,0,1.0,0000010c43fcee2b | bfbd | 0000010d43fcca00,3
0000010c43fcf4,6,2,2,6,0,1.0,0000010c43fcf4f7 | 6bb5 | 0000010d43fb6ef3,3
0000010c43fcf8,6,1,1,6,0,1.0,0000010c43fcf8d9 | 17bf,6
0000010c43fc51,6,3,2,5,1,0.8333,0000010c43fc51bb | 34ac | 0000010d43e311c3,3
0000010c43fc5b,6,3,2,5,1,0.8333,0000010c43fc5bde | 5f7e | 0000010d43f3af98,3
0000010c43fcb6,6,3,2,5,1,0.8333,0000010c43fcb626 | 68b2 | 0000010d43fc8d89,3
0000010c43fcc3,6,3,2,5,1,0.8333,0000010c43fcc30d | fb99 | 0000010d43fc4472,3
0000010c43fc58,6,4,2,4,2,0.6667,0000010c43fc58e9 | 5b4d,2
0000010c43fc72,6,4,2,4,2,0.6667,0000010c43fc7245 | 15bf,2
0000010c43fc93,6,4,2,4,2,0.6667,0000010c43fc93d5 | a00f,2
0000010c43fc6b,6,4,1,3,3,0.5,0000010c43fc6b91 | 2402 | 0000010d43fc7543,3
0000010c43fc50,5,3,1,3,2,0.6,0000010c43fc50b6 | b3eb | 0000010d43fc79c3,3
0000010c43fcb0,5,3,1,3,2,0.6,0000010c43fcb025 | 7949 | 0000010d43fcd600,3
0000010c43fcdd,5,3,1,3,2,0.6,0000010c43fcdd78 | ddd3 | 0000010d43f92716,3
0000010c43fc0d,5,4,1,2,3,0.4,0000010c43fc0d8d | bfbc,2
0000010c43fc57,5,4,1,2,3,0.4,0000010c43fc5785 | dc24,2
0000010c43fc95,4,2,2,4,0,1.0,0000010c43fc955a | ff25,2
0000010c43fcdf,4,1,1,4,0,1.0,0000010c43fcdff3 | b787 | 0000010d43f022e4,4
0000010c43fc43,4,2,1,3,1,0.75,0000010c43fc430b | ac49 | 0000010d43fc3ede,3
0000010c43fc62,4,2,1,3,1,0.75,0000010c43fc6244 | 1595 | 0000010d43f8f706,3
0000010c43fc6a,4,2,1,3,1,0.75,0000010c43fc6ab3 | 6334 | 0000010d43fc4b98,3
0000010c43fc8d,4,2,1,3,1,0.75,0000010c43fc8db3 | b5fe,3
0000010c43fc9e,4,2,1,3,1,0.75,0000010c43fc9ee9 | 6643 | 0000010d43f0e264,3
0000010c43fcab,4,2,1,3,1,0.75,0000010c43fcabd5 | d7ea | 0000010d43fc528a,3
0000010c43fcbf,4,2,1,3,1,0.75,0000010c43fcbfde | 5d8b | 0000010d43fca15c,3
0000010c43fcc0,4,2,1,3,1,0.75,0000010c43fcc0ee | 6ed5 | 0000010d43fcc7c7,3
0000010c43fcca,4,2,1,3,1,0.75,0000010c43fccafc | da59 | 0000010d43fce2ec,3
0000010c43fcf3,4,2,1,3,1,0.75,0000010c43fcf3c0 | add8 | 0000010d43f8cf32,3
0000010c43fc4f,4,3,1,2,2,0.5,0000010c43fc4f14 | b6ad,2
0000010c43fcf7,4,3,1,2,2,0.5,0000010c43fcf7cd | a8a5,2
0000010c43fc19,3,1,1,3,0,1.0,0000010c43fc1953 | dff7,3
0000010c43fc21,3,1,1,3,0,1.0,0000010c43fc2130 | 0be9,3
0000010c43fc2a,3,1,1,3,0,1.0,0000010c43fc2a96 | c6c4,3
0000010c43fc3b,3,1,1,3,0,1.0,0000010c43fc3b1d | 3ff9,3
0000010c43fc41,3,1,1,3,0,1.0,0000010c43fc4158 | d959 | 0000010d43fc4d6b,3
0000010c43fc56,3,1,1,3,0,1.0,0000010c43fc5673 | 21cd | 0000010d43fce200,3
0000010c43fc78,3,1,1,3,0,1.0,0000010c43fc781e | f6e8 | 0000010d43fca42a,3
0000010c43fc7a,3,1,1,3,0,1.0,0000010c43fc7ae2 | a43f | 0000010d43fc754b,3
0000010c43fc8f,3,1,1,3,0,1.0,0000010c43fc8f92 | 84b2,3
0000010c43fca2,3,1,1,3,0,1.0,0000010c43fca26d | 144e | 0000010d43fca446,3
0000010c43fca8,3,1,1,3,0,1.0,0000010c43fca855 | fe21 | 0000010d427d5762,3
0000010c43fcb9,3,1,1,3,0,1.0,0000010c43fcb9a6 | a2ae | 0000010d43fcd6ec,3
0000010c43fcbd,3,1,1,3,0,1.0,0000010c43fcbd66 | d5a5 | 0000010d43fcb392,3
0000010c43fcc9,3,1,1,3,0,1.0,0000010c43fcc9c3 | f38e | 0000010d43fc46d1,3
0000010c43fccd,3,1,1,3,0,1.0,0000010c43fccd80 | 673f | 0000010d43687b0c,3
0000010c43fcdc,3,1,1,3,0,1.0,0000010c43fcdc00 | f9e4 | 0000010d43fc48d1,3
0000010c43fceb,3,1,1,3,0,1.0,0000010c43fcebd1 | 3f64 | 0000010d43f80913,3
0000010c43fc4e,3,2,1,2,1,0.6667,0000010c43fc4e73 | 2331,2
0000010c43fc5e,3,2,1,2,1,0.6667,0000010c43fc5e8b | 1a0d,2
0000010c43fc5f,3,2,1,2,1,0.6667,0000010c43fc5f64 | b1ae,2
0000010c43fc64,3,2,1,2,1,0.6667,0000010c43fc64ef | ceb8,2
0000010c43fc94,3,2,1,2,1,0.6667,0000010c43fc9427 | ad8f,2
0000010c43fcb3,3,2,1,2,1,0.6667,0000010c43fcb3c6 | 72e8,2
0000010c43fcb7,3,2,1,2,1,0.6667,0000010c43fcb7ee | e797,2
0000010c43fcc6,3,2,1,2,1,0.6667,0000010c43fcc662 | c55d,2
0000010c43fcd1,3,2,1,2,1,0.6667,0000010c43fcd1de | 6c74,2
0000010c43fcd6,3,2,1,2,1,0.6667,0000010c43fcd600 | fc01,2
0000010c43fcdb,3,2,1,2,1,0.6667,0000010c43fcdb90 | a55e,2
0000010c43fcde,3,2,1,2,1,0.6667,0000010c43fcde6a | eaa5,2
0000010c43fcfc,3,2,1,2,1,0.6667,0000010c43fcfc27 | 8ba5,2
0000010c43fc05,2,1,1,2,0,1.0,0000010c43fc05c8 | 4d2f,2
0000010c43fc76,2,2,0,0,2,0.0,0000010c43fc765c | 9094 | 0000010d43fc99b2,1
0000010c43fc59,1,1,0,0,1,0.0,0000010c43fc592d | 086b | 0000010d43fc7912,1
0000010c43fc5d,1,1,0,0,1,0.0,0000010c43fc5dec | e3ed | 0000010d43fcec00,1
0000010c43fc60,1,1,0,0,1,0.0,0000010c43fc60fc | aa31 | 0000010d43fc5fed,1
0000010c43fc97,1,1,0,0,1,0.0,0000010c43fc97f6 | dbf2 | 0000010d43fc46d1,1
0000010c43fcaa,1,1,0,0,1,0.0,0000010c43fcaa00 | d7a3 | 0000010d43fcee23,1
0000010c43fcbc,1,1,0,0,1,0.0,0000010c43fcbce7 | 4d7a | 0000010d43fcf0e3,1
0000010c43fce3,1,1,0,0,1,0.0,0000010c43fce3ca | ed96 | 0000010d43fce79d,1
0000010c43fcff,1,1,0,0,1,0.0,0000010c43fcff3a | a8b0 | 0000010d43f883b3,1
