sig8,body_prefix,tail_sig8,body_md5,prev,next
0000010c43fc444c,4242,0000010d43fc9600,45d77e028b0d160500ebf4bc43caedb6,0B@-650,0D@674
0000010c43fc444c,4242,0000010d43fc4272,755251567256b60f306893a440a09d21,0B@-794,0D@661
0000010c43fc444c,3090,0000010d43f80002,32e120468f30117c41dd9470c0502ffb,0B@-762,0D@639
0000010c43fc444c,4242,0000010d43f84713,a72d2046e6d821fb9e317ecb6b9af0aa,0B@-668,0D@725
0000010c43fc444c,4242,0000010d43fc6ff7,8d807bfb64db64f51e5a175b8de36a4d,0B@-719,0D@690
