name_norm,count,scene_names,scene_indexes,offsets,sizes,sample_hashes
quickrace,5,QuickRace;QuickRace;QuickRace;QuickRace;QuickRace,15;24;25;26;27,0x00212860;0x0022673F;0x002280CE;0x00229AD3;0x0022B475,5513;6543;6661;6562;8735,dfe4e45f597b463d46d7c10a160adc372de5ea9f;af2fc23b336a8da89a3b56c426dad95714d7e8e2;ffdece709e05cbd4bd93a0c0a874caee4efc89b6;07373a4b2f9adad9137c600b2b9eae7fc13a41f7
gamecontroller,4,GameController;GameController;GameController;GameController,41;42;43;44,0x00247440;0x0024797D;0x0024BBEA;0x0024FDB6,1341;17005;16844;18619,432dcade1ccce2093c14e6111b2e9d55ec0a5d48;c4ea118c594323a804b7c12101ad275fa577a40f;00a4cf5a68798cc4427fa5d2e5c9df6c009819e1;87a5f05f1a0a68751b4939eed53219ddffa0d0e3
vehiclesetup,3,VehicleSetup;VehicleSetup;VehicleSetup,37;38;39,0x00237740;0x0023BF88;0x00240776,18504;18414;15572,056686b80a146035f5b7e0fc8c0530fcd41349c4;b064b825413ca74953ab2bb182f6c735f87699da;d7bc998059a8dc9e4be65a028439c1bd872dab2d
common,2,Common;Common,22;23,0x0021FD44;0x0022345E,14106;13025,237f3c4288ce5029b316f179ddc4df1215be4f36;191f2652203f9bc0f7e5b8eda8ee88003eac09d3
gameoptions,2,GameOptions;GameOptions,13;14,0x0020F4CA;0x00211FA1,10967;2239,64f8424106d9555312aa77d0e0de61d4d0795914;88db3e2b47f27d95c29456f344a5485d31f27d04
gameselect,2,GameSelect;GameSelect,7;8,0x0020942D;0x0020A834,5127;4684,c49b06626d7e446b8cdaa3a11a694a9b6d59c3f6;414a50ed5844ba928ff7338f1e2b1da44ee79959
loadingscreen,2,LoadingScreen;LoadingScreen,10;11,0x0020CB76;0x0020D869,3315;3797,72a01f5fffe1844370140b704cc031d224a1e571;88bfda92a8c249d28a0162d4b3231572c37c5db1
newstyle,2,NewStyle;NewStyle,30;36,0x0022F81D;0x00234841,6152;12031,3ab2361909655fb25cd5d9838467c6158d6b7eed;7c3654825c2aeb7b8a70224614e99e79eabfdef8
raceretry,2,RaceRetry;RaceRetry,29;31,0x0022EF5E;0x00231025,2239;1557,ca37710f80b2d72445667b9879bc49fba1c42e0c;a0b333d1f6bb9e49ce579c7019719ebbf20b6369
titlescreen,2,TitleScreen;TitleScreen,3;33,0x0020409C;0x002327A0,1982;2079,f91a005e55ae988efd344d8d57e0d39a1366ec7b;0965e942feafd5190ba00128ae937c5ca17826f8
