pak_string_offset_hex,path
0x14c3,FMV\CHALL07.PSS
0x5422,FMV\FUJ3.PSS
0x6d35,FMV\GO2.PSS
0x786c,FMV\MICROIDS.PSS
0x8043,FMV\CHALL09.PSS
0x8f62,\FMV\CHALL02.PSS
0xd0d4,FMV\INV1.PSS
0xf311,FMV\ELF3.PSS
0x10f75,FMV\MASTER03.PSS
0x121d4,FMV\CREDITS.PSS
0x13c2d,FMV\GO3.PSS
0x15fcb,FMV\CHALL04.PSS
0x185aa,FMV\BAGOO3.PSS
0x1959f,FMV\BFGOOD2.PSS
0x1b0da,FMV\CHALL06.PSS
0x1b34f,\FMV\TROPHY.PSS
0x1c7f5,FMV\FUJ2.PSS
0x1d362,FMV\BFGOOD1.PSS
