sig8,count
0000010a43fcebfd,9
0000010a43fcbded,7
0000010a43fc66f5,6
0000010a43fcc193,3
0000010a42736fea,3
0000010a43fcb965,3
0000010a423f8f96,3
0000010a43fc85db,3
0000010a423e7a43,3
0000010a423f7c01,3
0000010a43052a88,3
0000010a423fc705,3
0000010a423f81a5,3
0000010a43e00200,3
0000010a42c90c98,3
0000010a43880771,3
0000010a43a89584,3
0000010a4304140e,3
0000010a42622918,3
0000010a43e5ce40,3
0000010a43a9c077,3
0000010a43d0b1c9,3
0000010a43f9cc10,3
0000010a42d210ad,3
0000010a43f62cd6,3
0000010a43a1d2fd,3
0000010a43fceff7,3
0000010a43418426,3
0000010a43068c3a,3
0000010a4347d65e,3
0000010a423f729a,3
0000010a33f2fafd,3
0000010a33f10461,3
0000010a323fc608,3
0000010a43fc464c,3
0000010a08f7f7f7,3
0000010a423f8b96,2
0000010a43f8bfd2,2
0000010a437f6282,2
0000010a43fce61f,2
0000010aac460000,2
0000010a745600a0,2
0000010a437d1100,2
0000010a33fca7e7,2
0000010a43fc99dc,2
0000010a33fc3ed1,2
0000010a43fc9bdc,1
0000010a4276b91c,1
0000010a425d7d0e,1
0000010a43a2cd0f,1
0000010a43f602ce,1
0000010a43a6f505,1
0000010a43d250ca,1
0000010a423fc7e4,1
0000010a423f830c,1
0000010a43d81053,1
0000010a43e87a46,1
0000010a43d02e63,1
0000010a43e5ff38,1
0000010a43820c3c,1
0000010a43fcabfc,1
0000010a42c931c0,1
0000010a438535a2,1
0000010a43b4610c,1
0000010a423f95a4,1
0000010a4349d50d,1
0000010a423fca49,1
0000010a423f8ae2,1
0000010a4382dc75,1
0000010a43a2088a,1
0000010a4389c305,1
0000010a42c83261,1
0000010a43d24104,1
0000010a423f9910,1
0000010a423fc889,1
0000010a4354d206,1
0000010a423f3a94,1
0000010a423f0603,1
0000010a42d0fa00,1
0000010a432095ae,1
0000010a43f84f3a,1
0000010a42cd6a83,1
0000010a42fb6581,1
0000010a4394e00b,1
0000010a43d8f93e,1
0000010a429c898e,1
0000010a4350c283,1
0000010a4285f272,1
0000010a437cbff9,1
0000010a43a0c733,1
0000010a43d8dc03,1
0000010a43b06658,1
0000010a423fcd01,1
0000010a437aff63,1
0000010a43f40f77,1
0000010a43fc9dcc,1
0000010a43d0dfb7,1
0000010a439219d4,1
0000010a43fa898e,1
0000010a43f600a4,1
0000010a423fcbad,1
0000010a43d8a1c9,1
0000010a437f6114,1
0000010a42763da3,1
0000010a43a0d500,1
0000010a42fe4c99,1
0000010a42c005f0,1
0000010a438921ea,1
0000010a42bbefa9,1
0000010a43acc7cc,1
0000010a4290f631,1
0000010a425b98d0,1
0000010a4320a54b,1
0000010a43128821,1
0000010a42df6d30,1
0000010a42a870d0,1
0000010a42599218,1
0000010a42bbe350,1
0000010a4276e9a0,1
0000010a4258ef9f,1
0000010a42713ad5,1
0000010a43fc6af5,1
0000010a437a5bbe,1
0000010a437cfbe9,1
0000010a425aff05,1
0000010a43fc6cf5,1
0000010a42b77b2f,1
0000010a425cfcea,1
0000010a425bbdcc,1
0000010a437cbdff,1
0000010a43fc7dcc,1
0000010a42c2a89f,1
0000010a4276faea,1
0000010a4274c7ba,1
0000010a425a90b1,1
0000010a43417818,1
0000010a323fcb64,1
0000010a3291a6ed,1
0000010a327705e0,1
0000010a3261590e,1
0000010a330448a1,1
0000010a43f43efc,1
0000010a43d0d9a4,1
