cluster_id,anchor_count,unique_keys,keys,min_offset_hex,max_offset_hex,boundary_start_hex,boundary_end_hex,boundary_size_bytes,boundary_size_mib,avg_printable_ratio,peak_printable_ratio
1,10,3,OPTIONS|PROGRESS|QUICKRACE,0xd77eced,0xd7933ec,0xd57e000,0xd804000,2646016,2.523,0.398,0.6611
2,33,11,CUPSELECT|GAMESELECT2|LANGUAGE|OPTIONS|PROGRESS|QUICKRACE|RACEDETAILS2|RACERESULTS|REPLAYTHEATRE|TRAINING|VEHICLESELECT,0x17c9c381,0x17cd7f1b,0x17a9c000,0x17d2b000,2682880,2.559,0.4532,0.6169
3,10,3,OPTIONS|PROGRESS|QUICKRACE,0x25a737e0,0x25a87edf,0x25873000,0x25b03000,2686976,2.562,0.3974,0.6768
4,33,11,CUPSELECT|GAMESELECT2|LANGUAGE|OPTIONS|PROGRESS|QUICKRACE|RACEDETAILS2|RACERESULTS|REPLAYTHEATRE|TRAINING|VEHICLESELECT,0x2ff90e74,0x2ffcca0e,0x2fd90000,0x30030000,2752512,2.625,0.4504,0.6257
5,47,3,OPTIONS|PROGRESS|QUICKRACE,0x3dc0fead,0x3dc2cc76,0x3da0f000,0x3dc45000,2318336,2.211,0.3969,0.6931
6,143,12,CUPSELECT|GAMESELECT2|LANGUAGE|MRALLYESTART|OPTIONS|PROGRESS|QUICKRACE|RACEDETAILS2|RACERESULTS|REPLAYTHEATRE|TRAINING|VEHICLESELECT,0x48a62a9e,0x48aba45b,0x48862000,0x48ac7000,2510848,2.395,0.4608,0.7007
