cluster_id,recommendation,reason
1,subset_frontend_bank,options_progress_quickrace_subset
2,duplicate_frontend_bank,same_keyset_as_peer_frontend_bank
3,subset_frontend_bank,options_progress_quickrace_subset
4,duplicate_frontend_bank,same_keyset_as_peer_frontend_bank
5,subset_frontend_bank,options_progress_quickrace_subset
6,canonical_frontend_bank,highest_anchor_count|widest_key_coverage|unique_key_mrallyestart
