cluster_id,blob_file,strings_file,boundary_start_hex,boundary_end_hex,sha256,printable_string_count_est
1,cluster1_bank.bin,cluster1_strings.txt,0xd57e000,0xd804000,0be80b1d251fce47860e4c088139901e954d8afc066d8035346b12ffaae2dbb1,8000
2,cluster2_bank.bin,cluster2_strings.txt,0x17a9c000,0x17d2b000,f8e4c923c8697a671687925c40133920d7896a69313526978971f925b47690b2,8000
6,cluster6_bank.bin,cluster6_strings.txt,0x48862000,0x48ac7000,b6622e4e872642687bd68806bbba883ef9d45ce65ecd5fc6839e89e573431269,8000
