file,rank,recommended_action,reason
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,1,priority_manual_review;check_audio_presence,"mp2,mpeg1video 15.58s hint->challenge_preview_family_misc"
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,2,priority_manual_review,mpeg2video nans hint->challenge_preview_family_misc
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,3,priority_manual_review;check_audio_presence,"mp2,mpeg1video 13.78s hint->track_menu_preview_family_01"
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,4,priority_manual_review,mpeg2video nans hint->challenge_preview_family_misc
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,5,priority_manual_review,mpeg2video 11.56s hint->track_menu_preview_family_01
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,6,priority_manual_review,mpeg1video 15.3s hint->challenge_preview_family_misc
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,7,priority_manual_review,mpeg2video nans hint->challenge_preview_family_misc
