file,field_pos,value_u32,support,start_offset,end_offset,codec,duration,resolution,streams,video_like,audio_like,dur_score,score,rank,top_branches
43fc7f_stage20_rank01_pos028_07D64FE9_08004FE9.pss,40,131616745,21,131485673,134238185,"mp2,mpeg1video",15.58,512x256,2,True,True,15.58,162.58,1,0000010c43fc7f92|c90f:15 | 0000010c43fc7f92|c909:6
43fc7f_stage20_rank02_pos024_1A583D6F_1A823D6F.pss,36,442121583,21,441990511,444743023,mpeg2video,,512x256,1,True,False,0.0,142.0,2,0000010c43fc7f92|c90f:15 | 0000010c43fc7f92|c909:6
43fc7f_stage20_rank03_pos008_2110B6C4_213AB6C4.pss,8,554874564,7,554743492,557496004,"mp2,mpeg1video",13.78,512x256,3,True,True,13.78,132.78,3,0000010c43fc7ff1|c4b6:7
43fc7f_stage20_rank04_pos01c_37D8EA40_3802EA40.pss,28,937093696,13,936962624,939715136,mpeg2video,,512x256,1,True,False,0.0,126.0,4,0000010c43fc7f92|c909:6 | 0000010c43fc7f92|c90f:6 | 0000010c43fc7f8b|243f:1
43fc7f_stage20_rank05_pos028_01F453BA_021E53BA.pss,40,32920506,7,32789434,35541946,mpeg2video,11.56,512x256,1,True,False,11.56,125.56,5,0000010c43fc7f8b|243f:4 | 0000010c43fc7f92|c909:3
43fc7f_stage20_rank06_pos088_387163D9_389B63D9.pss,136,947086297,4,946955225,949707737,mpeg1video,15.3,512x256,1,True,False,15.3,123.3,6,0000010c43fc7f92|c90f:4
43fc7f_stage20_rank07_pos008_36F887CC_372287CC.pss,8,922388428,7,922257356,925009868,mpeg2video,,512x256,1,True,False,0.0,114.0,7,0000010c43fc7f92|cc87:6 | 0000010c43fc7fc2|cc87:1
