family,member,member_type,notes
track_menu_preview_family_01,43fc86_track_menu_preview_partial_01_36AA4000_36CA4000.pss,track_menu_preview_partial,Fujitsu Cup race 1; starts ~4s into full video; ends ~6s before loop
track_menu_preview_family_01,43fc86_track_menu_preview_partial_02_30B67000_30D67000.pss,track_menu_preview_partial,Bagoo Cup race 1; starts ~9s into full video; ends ~1.5s before loop
challenge_preview_family_misc,43fc86_challenge_preview_partial_01_350D5000_352D5000.pss,challenge_preview_partial,Challenge preview race 10; ends ~12s before original end
challenge_preview_family_misc,43fc86_challenge_preview_tail_to_race10_composite_01_34FD2000_351D2000.pss,challenge_preview_composite,Race 9 tail then jump to race 10 challenge preview
track_menu_preview_family_01,43fc86_track_menu_preview_freeze_variant_01_3625B000_3645B000.pss,track_menu_preview_freeze_variant,Elf Cup race 1 freeze variant
