position_hex,unique_values,top_exact_value,top_exact_count,top_bucket_start,top_bucket_count
0x008,2,0x52E12173,35,0x52E12000,35
0x014,3,0x9EC1FCFD,19,0x9EC1F000,19
0x01C,4,0x7BAB0546,19,0x7BAB0000,19
0x020,4,0xCB1B1B16,19,0xCB1B1000,19
0x024,5,0xE5BED581,12,0xE5BED000,12
0x028,5,0xE78DDFE4,12,0xE78DD000,12
0x088,7,0x60EB657E,9,0x60EB6000,9
0x094,7,0xFDDB82AB,9,0xFDDB8000,9
0x0A4,9,0xB02D441B,9,0xB02D4000,9
