source_member,size_bytes,lead8_hex,lead16_hex,member_name,declared_type,decoder_class_candidate,decoder_readiness
RaceResults_List_star,206,0d0a202b00000010,0d0a202b000000103c56616c7565204e,List*,String,typed_value_member,scaffold
RaceResults_UiSelect,254,0d0a202b00000010,0d0a202b000000103c56616c7565204e,UiSelect,Int,typed_value_member,scaffold
Language_Hitable,433,3c56616c7565204e,3c56616c7565204e616d653d22486974,Hitable,Bool,typed_value_member,scaffold
Language_Colour_Start,215,3c56616c7565204e,3c56616c7565204e616d653d22436f6c,Colour Start,Vector4,typed_value_member,scaffold
Language_en2d_FileType,188,3c56616c7565204e,3c56616c7565204e616d653d22656e32,en2d FileType,,typed_value_member,scaffold
