rec_off,field_pos,target_off,cluster_rank,cluster_file,stream_start,stream_end,delta_from_start,assign_score,validation_class,stage6_class
135417625,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
135648946,340,227126786,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,13795119,-1466.687,aggressive_blob,research_mux
139850194,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
541170188,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
541401509,340,227126786,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,13795119,-1466.687,aggressive_blob,research_mux
545602757,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
946021097,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
946251384,340,227126786,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,13795119,-1466.687,aggressive_blob,research_mux
950434181,108,213439963,7,rank07_0CB72ED3_0D8F0071.pss,213331667,227475569,108296,204.068,aggressive_blob,research_mux
