rank,file,layer,status
1,43fc84_stage38_rank01_pos148_3603C454_36068454.pss,secondary_scout,manual_review_required
2,43fc84_stage38_rank02_pos008_37FA8764_37FD4764.pss,secondary_scout,manual_review_required
3,43fc84_stage38_rank03_pos164_3B3DCF88_3B408F88.pss,secondary_scout,manual_review_required
4,43fc84_stage38_rank04_pos032_39B0DFED_39B39FED.pss,secondary_scout,manual_review_required
5,43fc84_stage38_rank05_pos136_3936BFFA_39397FFA.pss,secondary_scout,manual_review_required
6,43fc84_stage38_rank06_pos028_31F8D0CF_31FB90CF.pss,secondary_scout,manual_review_required
7,43fc84_stage38_rank07_pos040_37B488BD_37B748BD.pss,secondary_scout,manual_review_required
