field_pos,start_hex,support,dominant_sig8,dominant_body_prefix
0x094,3603C454,9,e8,9212
0x008,37FA8764,3,e9,6487
0x0A4,3B3DCF88,3,e9,521f
0x020,39B0DFED,3,e9,5300
0x088,3936BFFA,3,e9,5300
0x01C,31F8D0CF,2,e9,521f
0x028,37B488BD,1,e9,521f
