rec_off,cluster_file,validation_class,assign_score,out_file
95057330,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss,safe_playable,119.137,43fc65_refined_rank01_supp9_video_33594A33_33964A33.pss
104429196,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss,safe_playable,-154.754,43fc65_refined_rank05_supp7_video_006EA701_00B8A085.pss
